大境界,阶段,关卡,敌人类型,敌人名称,玩家气血,玩家总攻击,玩家总防御,玩家总速度,敌人气血,敌人基础伤害,敌人行动CD,单核推荐,单核结果,单核战斗秒数,单核剩余气血,单核难度,三神通结果,三神通战斗秒数,三神通剩余气血,三神通难度
炼气,初期,野狼谷外围,普通怪,灰鬃狼妖,386,116,58,80,120,37,1.68,归元指,胜,0.0,386,轻松,胜,0.0,386,轻松
炼气,初期,野狼谷外围,小Boss,铜爪狼将,386,116,58,80,234,59,1.52,归元指,胜,1.82,225,合理,胜,1.82,225,合理
炼气,初期,野狼谷外围,大Boss,噬月狼王,386,116,58,80,378,83,1.42,归元指,负,4.26,0,困难,胜,2.74,140,吃力
炼气,中期,野狼谷中心,普通怪,裂齿狼妖,492,132,66,80,160,50,1.66,归元指,胜,1.82,383,轻松,胜,0.91,442,轻松
炼气,中期,野狼谷中心,小Boss,啸风狼将,492,132,66,80,312,78,1.5,归元指,胜,3.65,181,合理,胜,2.74,279,合理
炼气,中期,野狼谷中心,大Boss,噬月狼王,492,132,66,80,504,110,1.4,归元指,负,4.2,0,困难,负,4.2,0,困难
炼气,后期,野狼谷深处,普通怪,血鬃狼妖,598,148,74,80,200,62,1.64,归元指,胜,1.82,463,轻松,胜,1.82,463,轻松
炼气,后期,野狼谷深处,小Boss,赤瞳狼将,598,148,74,80,390,98,1.48,归元指,胜,5.47,64,吃力,胜,3.65,209,合理
炼气,后期,野狼谷深处,大Boss,噬月狼王,598,148,74,80,630,138,1.38,归元指,负,4.14,0,困难,负,4.14,0,困难
筑基,初期,青云剑墟,普通怪,残剑灵,447,132,66,80,200,62,1.65,破甲掌,胜,2.74,308,合理,胜,0.91,384,轻松
筑基,初期,青云剑墟,小Boss,断岳剑侍,447,132,66,80,390,98,1.49,破甲掌,负,4.47,0,困难,胜,2.74,171,合理
筑基,初期,青云剑墟,大Boss,断岳剑主,447,132,66,80,630,138,1.39,破甲掌,负,2.78,0,困难,负,2.78,0,困难
筑基,中期,剑阁回廊,普通怪,回廊剑魂,614,164,82,80,240,74,1.63,破甲掌,胜,2.74,449,轻松,胜,0.91,539,轻松
筑基,中期,剑阁回廊,小Boss,锁廊剑将,614,164,82,80,468,118,1.47,破甲掌,负,4.41,0,困难,胜,2.74,282,合理
筑基,中期,剑阁回廊,大Boss,断岳剑主,614,164,82,80,756,166,1.37,破甲掌,负,2.74,0,困难,负,2.74,0,困难
筑基,后期,万剑峰,普通怪,裂锋剑魄,781,196,98,80,280,87,1.61,破甲掌,胜,2.74,586,轻松,胜,1.82,586,轻松
筑基,后期,万剑峰,小Boss,埋锋剑侯,781,196,98,80,546,137,1.45,破甲掌,负,5.8,0,困难,胜,3.65,217,吃力
筑基,后期,万剑峰,大Boss,断岳剑主,781,196,98,80,882,193,1.35,破甲掌,负,4.05,0,困难,负,4.05,0,困难
结丹,初期,火云洞口,普通怪,炽骨魔,546,164,82,80,280,87,1.62,破甲掌,胜,2.74,348,合理,胜,1.82,348,合理
结丹,初期,火云洞口,小Boss,焚血魔将,546,164,82,80,546,137,1.46,破甲掌,负,2.92,0,困难,负,2.92,0,困难
结丹,初期,火云洞口,大Boss,熔心魔君,546,164,82,80,882,193,1.36,破甲掌,负,1.36,0,困难,负,1.36,0,困难
结丹,中期,熔火回廊,普通怪,熔火魔躯,813,228,114,80,320,99,1.6,破甲掌,胜,5.47,361,合理,胜,1.82,587,轻松
结丹,中期,熔火回廊,小Boss,熔炉魔尉,813,228,114,80,624,157,1.44,破甲掌,负,4.32,0,困难,负,4.32,0,困难
结丹,中期,熔火回廊,大Boss,熔心魔君,813,228,114,80,1008,221,1.34,破甲掌,负,2.68,0,困难,负,2.68,0,困难
结丹,后期,魔渊入口,普通怪,灼心炎魔,1079,292,146,80,360,112,1.58,破甲掌,胜,5.47,569,合理,胜,2.74,824,轻松
结丹,后期,魔渊入口,小Boss,渊火魔将,1079,292,146,80,702,176,1.42,破甲掌,负,5.68,0,困难,胜,4.56,69,吃力
结丹,后期,魔渊入口,大Boss,熔心魔君,1079,292,146,80,1134,248,1.32,破甲掌,负,3.96,0,困难,负,3.96,0,困难
元婴,初期,冰魄渊口,普通怪,霜牙雪魈,711,228,114,80,360,112,1.59,破妄斩,胜,5.47,193,吃力,胜,1.82,452,合理
元婴,初期,冰魄渊口,小Boss,寒魄魈将,711,228,114,80,702,176,1.43,破妄斩,负,2.86,0,困难,负,2.86,0,困难
元婴,初期,冰魄渊口,大Boss,寒魄雪主,711,228,114,80,1134,248,1.33,破妄斩,负,1.33,0,困难,负,1.33,0,困难
元婴,中期,玄冰长阶,普通怪,玄冰雪魈,1143,356,178,80,400,124,1.57,破妄斩,胜,5.47,571,合理,胜,1.82,857,轻松
元婴,中期,玄冰长阶,小Boss,踏冰魈将,1143,356,178,80,780,196,1.41,破妄斩,负,4.23,0,困难,负,4.23,0,困难
元婴,中期,玄冰长阶,大Boss,寒魄雪主,1143,356,178,80,1260,276,1.31,破妄斩,负,2.62,0,困难,负,2.62,0,困难
元婴,后期,霜魂禁地,普通怪,霜魂妖魈,1575,484,242,80,440,136,1.55,破妄斩,胜,5.47,947,合理,胜,2.74,1261,轻松
元婴,后期,霜魂禁地,小Boss,禁地主魈,1575,484,242,80,858,216,1.39,破妄斩,负,6.95,0,困难,胜,4.56,315,吃力
元婴,后期,霜魂禁地,大Boss,寒魄雪主,1575,484,242,80,1386,304,1.29,破妄斩,负,3.87,0,困难,负,3.87,0,困难
化神,初期,雷泽外域,普通怪,雷羽玄鹏,991,356,178,80,440,136,1.56,玄雷诀,胜,5.47,349,吃力,胜,1.82,670,合理
化神,初期,雷泽外域,小Boss,逐雷鹏将,991,356,178,80,858,216,1.4,玄雷诀,负,4.2,0,困难,胜,3.65,57,吃力
化神,初期,雷泽外域,大Boss,天雷鹏王,991,356,178,80,1386,304,1.3,玄雷诀,负,1.3,0,困难,负,1.3,0,困难
化神,中期,雷泽心渊,普通怪,裂电玄鹏,1703,612,306,80,480,149,1.54,玄雷诀,胜,5.47,999,合理,胜,1.82,1351,轻松
化神,中期,雷泽心渊,小Boss,雷泽鹏侯,1703,612,306,80,936,235,1.38,玄雷诀,负,5.52,0,困难,胜,4.56,311,吃力
化神,中期,雷泽心渊,大Boss,天雷鹏王,1703,612,306,80,1512,331,1.28,玄雷诀,负,3.84,0,困难,负,3.84,0,困难
化神,后期,天雷祭坛,普通怪,祭坛雷鹏,2414,868,434,80,520,161,1.52,玄雷诀,胜,5.47,1654,合理,胜,2.74,2034,轻松
化神,后期,天雷祭坛,小Boss,祭坛镇鹏,2414,868,434,80,1014,255,1.36,玄雷诀,负,8.16,0,困难,胜,4.56,904,合理
化神,后期,天雷祭坛,大Boss,天雷鹏王,2414,868,434,80,1638,359,1.26,玄雷诀,负,5.04,0,困难,负,5.04,0,困难
炼虚,初期,虚空裂隙,普通怪,裂隙魔眼,1475,612,306,80,520,161,1.53,寂灭印,胜,5.47,703,合理,胜,1.82,1089,轻松
炼虚,初期,虚空裂隙,小Boss,虚窥魔将,1475,612,306,80,1014,255,1.37,寂灭印,负,4.11,0,困难,胜,3.65,343,吃力
炼虚,初期,虚空裂隙,大Boss,空冥主眼,1475,612,306,80,1638,359,1.27,寂灭印,负,2.54,0,困难,负,2.54,0,困难
炼虚,中期,折光回廊,普通怪,折光魔眼,2670,1124,562,80,560,174,1.51,寂灭印,胜,5.47,1836,合理,胜,1.82,2253,轻松
炼虚,中期,折光回廊,小Boss,折界瞳将,2670,1124,562,80,1092,274,1.35,寂灭印,负,8.1,0,困难,胜,4.56,1004,合理
炼虚,中期,折光回廊,大Boss,空冥主眼,2670,1124,562,80,1764,386,1.25,寂灭印,负,5.0,0,困难,负,5.0,0,困难
炼虚,后期,空冥之眼,普通怪,空冥魔眼,3866,1636,818,80,600,186,1.49,寂灭印,胜,5.47,2972,轻松,胜,2.74,3419,轻松
炼虚,后期,空冥之眼,小Boss,空冥瞳将,3866,1636,818,80,1170,294,1.33,寂灭印,负,10.64,0,困难,胜,4.56,2078,合理
炼虚,后期,空冥之眼,大Boss,空冥主眼,3866,1636,818,80,1890,414,1.23,寂灭印,负,6.15,0,困难,负,6.15,0,困难
合体,初期,万灵原野,普通怪,荒原石傀,2329,1124,562,80,600,186,1.5,九霄雷狱,胜,7.3,1213,合理,胜,1.82,1875,轻松
合体,初期,万灵原野,小Boss,碎岳石将,2329,1124,562,80,1170,294,1.34,九霄雷狱,负,6.7,0,困难,胜,5.47,90,吃力
合体,初期,万灵原野,大Boss,归一岩君,2329,1124,562,80,1890,414,1.24,九霄雷狱,负,3.72,0,困难,负,3.72,0,困难
合体,中期,合元秘径,普通怪,合元石傀,4378,2148,1074,80,640,198,1.48,九霄雷狱,胜,7.3,3190,轻松,胜,1.82,3895,轻松
合体,中期,合元秘径,小Boss,合元石侯,4378,2148,1074,80,1248,314,1.32,九霄雷狱,负,13.2,0,困难,胜,5.47,2148,合理
合体,中期,合元秘径,大Boss,归一岩君,4378,2148,1074,80,2016,442,1.22,九霄雷狱,负,8.54,0,困难,负,8.54,0,困难
合体,后期,归一殿,普通怪,归一石傀,6427,3172,1586,80,680,211,1.46,九霄雷狱,胜,7.3,5161,轻松,胜,3.65,5676,轻松
合体,后期,归一殿,小Boss,归殿石君,6427,3172,1586,80,1326,333,1.3,九霄雷狱,负,18.2,0,困难,胜,5.47,4064,轻松
合体,后期,归一殿,大Boss,归一岩君,6427,3172,1586,80,2142,469,1.2,九霄雷狱,负,10.8,0,困难,负,10.8,0,困难
大乘,初期,天门外域,普通怪,星阙灵蛇,3865,2148,1074,80,680,211,1.47,万劫斩,胜,7.3,2576,合理,胜,1.82,3341,轻松
大乘,初期,天门外域,小Boss,巡星蛇将,3865,2148,1074,80,1326,333,1.31,万劫斩,负,10.48,0,困难,胜,5.47,1474,合理
大乘,初期,天门外域,大Boss,巡天玄螭,3865,2148,1074,80,2142,469,1.21,万劫斩,负,6.05,0,困难,负,6.05,0,困难
大乘,中期,星阙长桥,普通怪,桥巡灵蛇,7451,4196,2098,80,720,223,1.45,万劫斩,胜,7.3,5792,轻松,胜,1.82,6898,轻松
大乘,中期,星阙长桥,小Boss,长桥蛇侯,7451,4196,2098,80,1404,353,1.29,万劫斩,胜,18.24,135,吃力,胜,5.47,4918,轻松
大乘,中期,星阙长桥,大Boss,巡天玄螭,7451,4196,2098,80,2268,497,1.19,万劫斩,负,11.9,0,困难,负,11.9,0,困难
大乘,后期,天阙神庭,普通怪,神庭灵蛇,11037,6244,3122,80,760,236,1.43,万劫斩,胜,7.3,9282,轻松,胜,3.65,10183,轻松
大乘,后期,天阙神庭,小Boss,神庭玄螭,11037,6244,3122,80,1482,372,1.27,万劫斩,胜,18.24,3325,合理,胜,5.47,8367,轻松
大乘,后期,天阙神庭,大Boss,巡天玄螭,11037,6244,3122,80,2394,524,1.17,万劫斩,负,17.55,0,困难,胜,14.59,1040,困难
渡劫,初期,劫云海口,普通怪,劫火尸王,6682,4196,2098,80,760,236,1.44,万劫斩,胜,7.3,4897,轻松,胜,3.65,5813,轻松
渡劫,初期,劫云海口,小Boss,劫雷尸将,6682,4196,2098,80,1482,372,1.28,万劫斩,负,16.64,0,困难,胜,5.47,3968,合理
渡劫,初期,劫云海口,大Boss,天罚尸尊,6682,4196,2098,80,2394,524,1.18,万劫斩,负,9.44,0,困难,负,9.44,0,困难
渡劫,中期,雷光断界,普通怪,断界尸王,13085,8292,4146,80,800,248,1.42,万劫斩,胜,7.3,11210,轻松,胜,3.65,12172,轻松
渡劫,中期,雷光断界,小Boss,雷断尸侯,13085,8292,4146,80,1560,392,1.26,万劫斩,胜,18.24,4835,合理,胜,7.3,9653,轻松
渡劫,中期,雷光断界,大Boss,天罚尸尊,13085,8292,4146,80,2520,552,1.16,万劫斩,负,18.56,0,困难,胜,15.51,1894,困难
渡劫,后期,天罚祭台,普通怪,祭台尸王,19487,12388,6194,80,840,260,1.4,万劫斩,胜,10.95,16863,合理,胜,3.65,18529,轻松
渡劫,后期,天罚祭台,小Boss,天罚尸将,19487,12388,6194,80,1638,412,1.24,万劫斩,胜,21.89,9121,合理,胜,7.3,15877,轻松
渡劫,后期,天罚祭台,大Boss,天罚尸尊,19487,12388,6194,80,2646,580,1.14,万劫斩,负,26.22,0,困难,胜,18.24,5021,吃力
真仙,初期,仙庭云径,普通怪,云庭幻狐,11931,8292,4146,80,840,260,1.41,仙意破军,胜,7.3,9933,轻松,胜,3.65,10958,轻松
真仙,初期,仙庭云径,小Boss,踏云狐将,11931,8292,4146,80,1638,412,1.25,仙意破军,胜,18.24,3166,吃力,胜,5.47,8891,轻松
真仙,初期,仙庭云径,大Boss,九尾云尊,11931,8292,4146,80,2646,580,1.15,仙意破军,负,14.95,0,困难,负,14.95,0,困难
真仙,中期,紫微宫门,普通怪,紫微幻狐,23583,16484,8242,80,880,273,1.39,仙意破军,胜,7.3,21486,轻松,胜,3.65,22562,轻松
真仙,中期,紫微宫门,小Boss,宫门狐侯,23583,16484,8242,80,1716,431,1.23,仙意破军,胜,18.24,14412,合理,胜,7.3,19764,轻松
真仙,中期,紫微宫门,大Boss,九尾云尊,23583,16484,8242,80,2772,607,1.13,仙意破军,负,30.51,0,困难,胜,15.51,11089,合理
真仙,后期,太清仙阙,普通怪,太清幻狐,35235,24676,12338,80,920,285,1.37,仙意破军,胜,10.95,32319,合理,胜,3.65,34170,轻松
真仙,后期,太清仙阙,小Boss,仙阙狐妃,35235,24676,12338,80,1794,451,1.21,仙意破军,胜,18.24,25238,合理,胜,7.3,30836,轻松
真仙,后期,太清仙阙,大Boss,九尾云尊,35235,24676,12338,80,2898,635,1.11,仙意破军,负,42.18,0,困难,胜,18.24,19158,合理
金仙,初期,金阙天街,普通怪,金乌残灵,21853,16484,8242,80,920,285,1.38,金阙斩,胜,7.3,19630,轻松,胜,3.65,20770,轻松
金仙,初期,金阙天街,小Boss,曜羽乌将,21853,16484,8242,80,1794,451,1.22,金阙斩,胜,18.24,12162,合理,胜,7.3,17814,轻松
金仙,初期,金阙天街,大Boss,曜阳乌皇,21853,16484,8242,80,2898,635,1.12,金阙斩,负,25.76,0,困难,胜,15.51,8646,吃力
金仙,中期,琉璃天廊,普通怪,琉璃乌灵,43427,32868,16434,80,960,298,1.36,金阙斩,胜,7.3,41102,轻松,胜,3.65,42294,轻松
金仙,中期,琉璃天廊,小Boss,天廊乌侯,43427,32868,16434,80,1872,470,1.2,金阙斩,胜,18.24,32897,合理,胜,7.3,38792,轻松
金仙,中期,琉璃天廊,大Boss,曜阳乌皇,43427,32868,16434,80,3024,662,1.1,金阙斩,负,49.5,0,困难,胜,18.24,26485,合理
金仙,后期,金轮法界,普通怪,金轮乌灵,65001,49252,24626,80,1000,310,1.34,金阙斩,胜,10.95,61405,合理,胜,3.65,63823,轻松
金仙,后期,金轮法界,小Boss,金轮乌帅,65001,49252,24626,80,1950,490,1.18,金阙斩,胜,21.89,51978,合理,胜,7.3,60170,轻松
金仙,后期,金轮法界,大Boss,曜阳乌皇,65001,49252,24626,80,3150,690,1.08,金阙斩,负,70.2,0,困难,胜,18.24,48110,合理
太乙,初期,太乙玄原,普通怪,太乙莲魄,40832,32868,16434,80,1000,310,1.35,太乙诛邪,胜,7.3,38378,轻松,胜,3.65,39636,轻松
太乙,初期,太乙玄原,小Boss,青莲魄将,40832,32868,16434,80,1950,490,1.19,太乙诛邪,胜,18.24,29747,合理,胜,7.3,35951,轻松
太乙,初期,太乙玄原,大Boss,玄天莲尊,40832,32868,16434,80,3150,690,1.09,太乙诛邪,负,43.6,0,困难,胜,16.42,24258,合理
太乙,中期,万象宫,普通怪,万象莲魄,81385,65636,32818,80,1040,322,1.33,太乙诛邪,胜,10.95,77592,合理,胜,3.65,80142,轻松
太乙,中期,万象宫,小Boss,万象莲侯,81385,65636,32818,80,2028,510,1.17,太乙诛邪,胜,18.24,69850,合理,胜,7.3,76306,轻松
太乙,中期,万象宫,大Boss,玄天莲尊,81385,65636,32818,80,3276,718,1.07,太乙诛邪,负,82.39,0,困难,胜,18.24,62015,合理
太乙,后期,玄天法阵,普通怪,玄天莲魄,121938,98404,49202,80,1080,335,1.31,太乙诛邪,胜,10.95,117989,合理,胜,3.65,120644,轻松
太乙,后期,玄天法阵,小Boss,玄阵莲尊,121938,98404,49202,80,2106,529,1.15,太乙诛邪,胜,21.89,106790,合理,胜,7.3,116670,轻松
太乙,后期,玄天法阵,大Boss,玄天莲尊,121938,98404,49202,80,3402,745,1.05,太乙诛邪,负,117.6,0,困难,胜,18.24,101842,合理
大罗,初期,大罗界外,普通怪,星海古鲸,77493,65636,32818,80,1080,335,1.32,太乙诛邪,胜,10.95,73490,合理,胜,3.65,76181,轻松
大罗,初期,大罗界外,小Boss,裂海鲸将,77493,65636,32818,80,2106,529,1.16,太乙诛邪,胜,21.89,63024,合理,胜,7.3,72120,轻松
大罗,初期,大罗界外,大Boss,寂灭鲸祖,77493,65636,32818,80,3402,745,1.06,太乙诛邪,负,73.14,0,困难,胜,18.24,57042,合理
大罗,中期,寂灭长阶,普通怪,寂灭古鲸,154706,131172,65586,80,1120,347,1.3,太乙诛邪,胜,10.95,150556,合理,胜,3.65,153346,轻松
大罗,中期,寂灭长阶,小Boss,长阶鲸侯,154706,131172,65586,80,2184,549,1.14,太乙诛邪,胜,21.89,138680,合理,胜,7.3,149130,轻松
大罗,中期,寂灭长阶,大Boss,寂灭鲸祖,154706,131172,65586,80,3528,773,1.04,太乙诛邪,负,140.4,0,困难,胜,19.16,132127,合理
大罗,后期,无尽道场,普通怪,道场古鲸,231919,196708,98354,80,1160,360,1.28,太乙诛邪,胜,10.95,227617,合理,胜,3.65,230509,轻松
大罗,后期,无尽道场,小Boss,无尽鲸君,231919,196708,98354,80,2262,568,1.12,太乙诛邪,胜,21.89,215336,合理,胜,8.21,225104,轻松
大罗,后期,无尽道场,大Boss,寂灭鲸祖,231919,196708,98354,80,3654,800,1.02,太乙诛邪,负,180.54,21135,困难,胜,20.07,207135,合理
道祖,初期,道祖外庭,普通怪,混元古龙,148867,131172,65586,80,1160,360,1.29,万道归一,胜,13.68,143513,合理,胜,4.56,146907,轻松
道祖,初期,道祖外庭,小Boss,混元龙将,148867,131172,65586,80,2262,568,1.13,万道归一,胜,22.8,131535,合理,胜,9.12,141439,轻松
道祖,初期,道祖外庭,大Boss,万道龙祖,148867,131172,65586,80,3654,800,1.03,万道归一,负,126.69,0,困难,胜,22.8,120387,吃力
道祖,中期,混元大道,普通怪,大道古龙,297455,262244,131122,80,1200,372,1.27,万道归一,胜,13.68,291926,合理,胜,4.56,295431,轻松
道祖,中期,混元大道,小Boss,大道龙侯,297455,262244,131122,80,2340,588,1.11,万道归一,胜,27.36,276022,吃力,胜,9.12,289766,轻松
道祖,中期,混元大道,大Boss,万道龙祖,297455,262244,131122,80,3780,828,1.01,万道归一,负,180.61,73201,困难,胜,24.63,265537,吃力
道祖,后期,万道之心,普通怪,万道古龙,446043,393316,196658,80,1240,384,1.25,万道归一,胜,13.68,440334,合理,胜,4.56,443953,轻松
道祖,后期,万道之心,小Boss,万道龙君,446043,393316,196658,80,2418,608,1.09,万道归一,胜,27.36,422731,吃力,胜,9.12,438090,轻松
道祖,后期,万道之心,大Boss,万道龙祖,446043,393316,196658,80,3906,856,0.99,万道归一,负,180.18,208989,困难,胜,27.36,408876,吃力
