大境界,阶段,关卡,敌人类型,出现位置,敌人名称,档案标题,气血,煞气,基础伤害,行动CD,技能1名称,技能1伤害,技能1CD,技能1效果,技能2名称,技能2伤害,技能2CD,技能2效果,技能3名称,技能3伤害,技能3CD,技能3效果,数值备注,当前可解锁神通数,最低通关神通数,最低通关神通组合,组合单次伤害,最低通关气血,最低通关煞气,最低通关预估秒数,通关结果说明
炼气,初期,野狼谷外围,普通怪,普通战斗层,灰鬃狼妖,山谷边缘游荡的狼妖,120,0,37,1.68,裂爪,37,1.6,,扑杀号,44,2.0,,,,,,基准值=60; hp系数=2; dmg系数=0.62,2,1,归元指,归元指:120,100,0,0.0,按最低气血优先规则计算的可通关门槛
炼气,初期,野狼谷外围,小Boss,第5层,铜爪狼将,率群狩猎的狼群头目,234,3,59,1.52,断喉扑,74,1.9,,裂骨撕咬,87,2.4,,,,,,基准值=60; hp系数=3.9; dmg系数=0.98,2,1,归元指,归元指:120,162,0,1.82,按最低气血优先规则计算的可通关门槛
炼气,初期,野狼谷外围,大Boss,第10层,噬月狼王,月下成王的狼谷霸主,378,6,83,1.42,噬月撕杀号,112,2.2,,裂岳扑杀,134,2.8,,吞血回息,71,3.4,回复气血,基准值=60; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,247,0,2.74,按最低气血优先规则计算的可通关门槛
炼气,中期,野狼谷中心,普通怪,普通战斗层,裂齿狼妖,盘踞谷中的凶狼,160,0,50,1.66,裂爪,50,1.6,,扑杀号,59,2.0,,,,,,基准值=80; hp系数=2; dmg系数=0.62,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,100,0,0.91,按最低气血优先规则计算的可通关门槛
炼气,中期,野狼谷中心,小Boss,第5层,啸风狼将,在风中疾扑的谷中狼将,312,4,78,1.5,断喉扑,98,1.9,,裂骨撕咬,115,2.4,,,,,,基准值=80; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,214,0,2.74,按最低气血优先规则计算的可通关门槛
炼气,中期,野狼谷中心,大Boss,第10层,噬月狼王,聚啸群狼的谷中狼王,504,7,110,1.4,噬月撕杀号,148,2.2,,裂岳扑杀,178,2.8,,吞血回息,94,3.4,回复气血,基准值=80; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,569,0,4.56,按最低气血优先规则计算的可通关门槛
炼气,后期,野狼谷深处,普通怪,普通战斗层,血鬃狼妖,吞食血气后异变的狼妖,200,0,62,1.64,裂爪,62,1.6,,扑杀号,73,2.0,,,,,,基准值=100; hp系数=2; dmg系数=0.62,2,2,归元指 / 清心诀,归元指:126 / 清心诀:74,100,100,0.91,按最低气血优先规则计算的可通关门槛
炼气,后期,野狼谷深处,小Boss,第5层,赤瞳狼将,深处盘踞的赤目狼将,390,5,98,1.48,断喉扑,122,1.9,,裂骨撕咬,145,2.4,,,,,,基准值=100; hp系数=3.9; dmg系数=0.98,2,2,归元指 / 清心诀,归元指:123 / 清心诀:72,270,50,2.74,按最低气血优先规则计算的可通关门槛
炼气,后期,野狼谷深处,大Boss,第10层,噬月狼王,吞月异化的野狼谷王,630,8,138,1.38,噬月撕杀号,186,2.2,,裂岳扑杀,224,2.8,,吞血回息,117,3.4,回复气血,基准值=100; hp系数=6.3; dmg系数=1.38,2,2,归元指 / 清心诀,归元指:120 / 清心诀:70,714,0,5.47,按最低气血优先规则计算的可通关门槛
筑基,初期,青云剑墟,普通怪,普通战斗层,残剑灵,断剑残意化成的游魂,200,0,62,1.65,断锋刺,63,1.7,,回斩,76,2.1,,,,,,基准值=100; hp系数=2; dmg系数=0.62,4,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,100,0,0.91,按最低气血优先规则计算的可通关门槛
筑基,初期,青云剑墟,小Boss,第5层,断岳剑侍,守着剑墟门户的剑侍,390,4,98,1.49,穿心剑炁,127,2.0,,折锋连斩,149,2.5,,,,,,基准值=100; hp系数=3.9; dmg系数=0.98,4,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,277,0,2.74,按最低气血优先规则计算的可通关门槛
筑基,初期,青云剑墟,大Boss,第10层,断岳剑主,剑墟深处未灭的旧剑主,630,7,138,1.39,断岳斩,196,2.3,,千锋回廊,235,3.0,,剑息归身,124,3.6,回复气血,基准值=100; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:140 / 归元指:120 / 清心诀:70,752,0,5.47,按最低气血优先规则计算的可通关门槛
筑基,中期,剑阁回廊,普通怪,普通战斗层,回廊剑魂,被旧剑意束缚的剑魂,240,0,74,1.63,断锋刺,75,1.7,,回斩,90,2.1,,,,,,基准值=120; hp系数=2; dmg系数=0.62,4,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,100,0,0.91,按最低气血优先规则计算的可通关门槛
筑基,中期,剑阁回廊,小Boss,第5层,锁廊剑将,巡走回廊的剑将残魂,468,5,118,1.47,穿心剑炁,153,2.0,,折锋连斩,179,2.5,,,,,,基准值=120; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:140 / 归元指:120 / 清心诀:70,333,0,2.74,按最低气血优先规则计算的可通关门槛
筑基,中期,剑阁回廊,大Boss,第10层,断岳剑主,回廊尽头执念不散的剑主,756,8,166,1.37,断岳斩,236,2.3,,千锋回廊,282,3.0,,剑息归身,149,3.6,回复气血,基准值=120; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:146 / 归元指:125 / 清心诀:73,911,80,5.47,按最低气血优先规则计算的可通关门槛
筑基,后期,万剑峰,普通怪,普通战斗层,裂锋剑魄,万剑峰中最凶的剑魄,280,0,87,1.61,断锋刺,89,1.7,,回斩,106,2.1,,,,,,基准值=140; hp系数=2; dmg系数=0.62,4,2,破甲掌 / 归元指,破甲掌:151 / 归元指:130,100,160,0.91,按最低气血优先规则计算的可通关门槛
筑基,后期,万剑峰,小Boss,第5层,埋锋剑侯,藏于峰顶石壁的剑侯,546,6,137,1.45,穿心剑炁,178,2.0,,折锋连斩,208,2.5,,,,,,基准值=140; hp系数=3.9; dmg系数=0.98,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:140 / 归元指:120 / 清心诀:70,565,0,3.65,按最低气血优先规则计算的可通关门槛
筑基,后期,万剑峰,大Boss,第10层,断岳剑主,万剑峰中残意最盛的剑主,882,9,193,1.35,断岳斩,274,2.3,,千锋回廊,328,3.0,,剑息归身,174,3.6,回复气血,基准值=140; hp系数=6.3; dmg系数=1.38,4,3,破甲掌 / 归元指 / 清心诀,破甲掌:148 / 归元指:127 / 清心诀:74,1395,110,6.39,按最低气血优先规则计算的可通关门槛
结丹,初期,火云洞口,普通怪,普通战斗层,炽骨魔,火云洞口游荡的骨魔,280,2,87,1.62,炎爪,90,1.7,,灼骨扑杀,108,2.1,,,,,,基准值=140; hp系数=2; dmg系数=0.62,6,2,破甲掌 / 归元指,破甲掌:151 / 归元指:130,100,160,0.91,按最低气血优先规则计算的可通关门槛
结丹,初期,火云洞口,小Boss,第5层,焚血魔将,专擅扑杀的火骨魔将,546,5,137,1.46,熔心撞击,181,2.0,,焚脉重踏,212,2.6,,,,,,基准值=140; hp系数=3.9; dmg系数=0.98,6,3,破甲掌 / 归元指 / 焚心焰,破甲掌:140 / 归元指:120 / 焚心焰:95,575,0,3.65,按最低气血优先规则计算的可通关门槛
结丹,初期,火云洞口,大Boss,第10层,熔心魔君,以熔火为心核的洞府魔首,882,8,193,1.36,熔心爆斩,280,2.4,,火渊坠击,340,3.0,,吞焰回心,178,3.8,回复气血,基准值=140; hp系数=6.3; dmg系数=1.38,6,3,破甲掌 / 归元指 / 焚心焰,破甲掌:141 / 归元指:121 / 焚心焰:95,1419,10,6.39,按最低气血优先规则计算的可通关门槛
结丹,中期,熔火回廊,普通怪,普通战斗层,熔火魔躯,熔火之中淬成的魔躯,320,3,99,1.6,炎爪,103,1.7,,灼骨扑杀,123,2.1,,,,,,基准值=160; hp系数=2; dmg系数=0.62,6,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,227,0,2.74,按最低气血优先规则计算的可通关门槛
结丹,中期,熔火回廊,小Boss,第5层,熔炉魔尉,守在回廊深处的熔炉魔尉,624,6,157,1.44,熔心撞击,207,2.0,,焚脉重踏,243,2.6,,,,,,基准值=160; hp系数=3.9; dmg系数=0.98,6,3,破甲掌 / 归元指 / 焚心焰,破甲掌:142 / 归元指:122 / 焚心焰:96,661,30,3.65,按最低气血优先规则计算的可通关门槛
结丹,中期,熔火回廊,大Boss,第10层,熔心魔君,火脉最深处走出的熔心魔君,1008,9,221,1.34,熔心爆斩,320,2.4,,火渊坠击,389,3.0,,吞焰回心,203,3.8,回复气血,基准值=160; hp系数=6.3; dmg系数=1.38,6,3,破甲掌 / 归元指 / 焚心焰,破甲掌:140 / 归元指:120 / 焚心焰:95,2145,0,9.12,按最低气血优先规则计算的可通关门槛
结丹,后期,魔渊入口,普通怪,普通战斗层,灼心炎魔,接近魔渊后心火愈盛的炎魔,360,4,112,1.58,炎爪,116,1.7,,灼骨扑杀,139,2.1,,,,,,基准值=180; hp系数=2; dmg系数=0.62,6,2,破甲掌 / 归元指,破甲掌:140 / 归元指:120,256,0,2.74,按最低气血优先规则计算的可通关门槛
结丹,后期,魔渊入口,小Boss,第5层,渊火魔将,镇守魔渊入口的火魔将,702,7,176,1.42,熔心撞击,232,2.0,,焚脉重踏,273,2.6,,,,,,基准值=180; hp系数=3.9; dmg系数=0.98,6,3,破甲掌 / 归元指 / 焚心焰,破甲掌:140 / 归元指:120 / 焚心焰:95,1011,0,4.56,按最低气血优先规则计算的可通关门槛
结丹,后期,魔渊入口,大Boss,第10层,熔心魔君,临近魔渊时完全觉醒的炎魔之君,1134,10,248,1.32,熔心爆斩,360,2.4,,火渊坠击,436,3.0,,吞焰回心,228,3.8,回复气血,基准值=180; hp系数=6.3; dmg系数=1.38,6,3,破甲掌 / 归元指 / 焚心焰,破甲掌:144 / 归元指:124 / 焚心焰:98,2437,60,9.12,按最低气血优先规则计算的可通关门槛
元婴,初期,冰魄渊口,普通怪,普通战斗层,霜牙雪魈,潜伏冰层后的寒魈,360,3,112,1.59,冰牙啮,118,1.75,,霜裂扑,141,2.15,,,,,,基准值=180; hp系数=2; dmg系数=0.62,8,2,破妄斩 / 破甲掌,破妄斩:170 / 破甲掌:140,260,0,2.74,按最低气血优先规则计算的可通关门槛
元婴,初期,冰魄渊口,小Boss,第5层,寒魄魈将,掌控寒流的雪魈头目,702,6,176,1.43,冰魄冲锋,236,2.05,,寒渊重击,278,2.65,,,,,,基准值=180; hp系数=3.9; dmg系数=0.98,8,3,破妄斩 / 破甲掌 / 归元指,破妄斩:170 / 破甲掌:140 / 归元指:120,751,0,3.65,按最低气血优先规则计算的可通关门槛
元婴,初期,冰魄渊口,大Boss,第10层,寒魄雪主,凝聚极寒之息的雪魄首领,1134,9,248,1.33,寒魄裂空,367,2.45,,霜魂震地,446,3.1,,凝霜回息,236,3.9,回复气血,基准值=180; hp系数=6.3; dmg系数=1.38,8,3,破妄斩 / 破甲掌 / 归元指,破妄斩:182 / 破甲掌:150 / 归元指:128,1888,140,6.39,按最低气血优先规则计算的可通关门槛
元婴,中期,玄冰长阶,普通怪,普通战斗层,玄冰雪魈,沿长阶巡视的冰魈,400,4,124,1.57,冰牙啮,130,1.75,,霜裂扑,156,2.15,,,,,,基准值=200; hp系数=2; dmg系数=0.62,8,2,破妄斩 / 破甲掌,破妄斩:170 / 破甲掌:140,287,0,2.74,按最低气血优先规则计算的可通关门槛
元婴,中期,玄冰长阶,小Boss,第5层,踏冰魈将,长阶之上最凶的踏冰魈将,780,7,196,1.41,冰魄冲锋,263,2.05,,寒渊重击,310,2.65,,,,,,基准值=200; hp系数=3.9; dmg系数=0.98,8,3,破妄斩 / 破甲掌 / 归元指,破妄斩:179 / 破甲掌:148 / 归元指:127,846,110,3.65,按最低气血优先规则计算的可通关门槛
元婴,中期,玄冰长阶,大Boss,第10层,寒魄雪主,玄冰长阶尽头的寒主,1260,10,276,1.31,寒魄裂空,408,2.45,,霜魂震地,497,3.1,,凝霜回息,262,3.9,回复气血,基准值=200; hp系数=6.3; dmg系数=1.38,8,3,破妄斩 / 破甲掌 / 归元指,破妄斩:170 / 破甲掌:140 / 归元指:120,2755,0,9.12,按最低气血优先规则计算的可通关门槛
元婴,后期,霜魂禁地,普通怪,普通战斗层,霜魂妖魈,霜魂禁地里凝出的雪魈,440,5,136,1.55,冰牙啮,143,1.75,,霜裂扑,171,2.15,,,,,,基准值=220; hp系数=2; dmg系数=0.62,8,2,破妄斩 / 破甲掌,破妄斩:170 / 破甲掌:140,315,0,2.74,按最低气血优先规则计算的可通关门槛
元婴,后期,霜魂禁地,小Boss,第5层,禁地主魈,看守禁地的主魈,858,8,216,1.39,冰魄冲锋,289,2.05,,寒渊重击,341,2.65,,,,,,基准值=220; hp系数=3.9; dmg系数=0.98,8,3,破妄斩 / 破甲掌 / 归元指,破妄斩:170 / 破甲掌:140 / 归元指:120,1261,0,4.56,按最低气血优先规则计算的可通关门槛
元婴,后期,霜魂禁地,大Boss,第10层,寒魄雪主,霜魂禁地中真正的雪主,1386,11,304,1.29,寒魄裂空,450,2.45,,霜魂震地,547,3.1,,凝霜回息,289,3.9,回复气血,基准值=220; hp系数=6.3; dmg系数=1.38,8,3,破妄斩 / 破甲掌 / 归元指,破妄斩:170 / 破甲掌:140 / 归元指:120,3489,0,10.03,按最低气血优先规则计算的可通关门槛
化神,初期,雷泽外域,普通怪,普通战斗层,雷羽玄鹏,在雷泽边缘俯冲的异鹏,440,4,136,1.56,雷喙突袭,147,1.72,,电羽俯斩,174,2.12,,,,,,基准值=220; hp系数=2; dmg系数=0.62,10,2,玄雷诀 / 破妄斩,玄雷诀:200 / 破妄斩:170,322,0,2.74,按最低气血优先规则计算的可通关门槛
化神,初期,雷泽外域,小Boss,第5层,逐雷鹏将,率群盘旋的雷羽鹏将,858,7,216,1.4,惊雷俯冲,294,2.02,,雷泽裂翼,346,2.55,,,,,,基准值=220; hp系数=3.9; dmg系数=0.98,10,3,玄雷诀 / 破妄斩 / 破甲掌,玄雷诀:200 / 破妄斩:170 / 破甲掌:140,935,0,3.65,按最低气血优先规则计算的可通关门槛
化神,初期,雷泽外域,大Boss,第10层,天雷鹏王,掌驭雷霆的泽域霸主,1386,10,304,1.3,天雷坠翼,456,2.36,,雷泽震空,553,3.02,,吞雷回鸣,298,3.8,回复气血,基准值=220; hp系数=6.3; dmg系数=1.38,10,3,玄雷诀 / 破妄斩 / 破甲掌,玄雷诀:200 / 破妄斩:170 / 破甲掌:140,3085,0,8.21,按最低气血优先规则计算的可通关门槛
化神,中期,雷泽心渊,普通怪,普通战斗层,裂电玄鹏,心渊之中振翅生电的玄鹏,480,5,149,1.54,雷喙突袭,161,1.72,,电羽俯斩,191,2.12,,,,,,基准值=240; hp系数=2; dmg系数=0.62,10,2,玄雷诀 / 破妄斩,玄雷诀:200 / 破妄斩:170,353,0,2.74,按最低气血优先规则计算的可通关门槛
化神,中期,雷泽心渊,小Boss,第5层,雷泽鹏侯,雷泽心渊中的鹏侯,936,8,235,1.38,惊雷俯冲,320,2.02,,雷泽裂翼,376,2.55,,,,,,基准值=240; hp系数=3.9; dmg系数=0.98,10,3,玄雷诀 / 破妄斩 / 破甲掌,玄雷诀:213 / 破妄斩:181 / 破甲掌:149,1030,130,3.65,按最低气血优先规则计算的可通关门槛
化神,中期,雷泽心渊,大Boss,第10层,天雷鹏王,雷泽最深处的天雷之王,1512,11,331,1.28,天雷坠翼,496,2.36,,雷泽震空,602,3.02,,吞雷回鸣,324,3.8,回复气血,基准值=240; hp系数=6.3; dmg系数=1.38,10,3,玄雷诀 / 破妄斩 / 破甲掌,玄雷诀:213 / 破妄斩:181 / 破甲掌:149,3402,130,8.21,按最低气血优先规则计算的可通关门槛
化神,后期,天雷祭坛,普通怪,普通战斗层,祭坛雷鹏,祭坛附近最狂暴的雷鹏,520,6,161,1.52,雷喙突袭,174,1.72,,电羽俯斩,206,2.12,,,,,,基准值=260; hp系数=2; dmg系数=0.62,10,2,玄雷诀 / 破妄斩,玄雷诀:200 / 破妄斩:170,381,0,2.74,按最低气血优先规则计算的可通关门槛
化神,后期,天雷祭坛,小Boss,第5层,祭坛镇鹏,镇守祭坛前沿的雷鹏首,1014,9,255,1.36,惊雷俯冲,347,2.02,,雷泽裂翼,408,2.55,,,,,,基准值=260; hp系数=3.9; dmg系数=0.98,10,3,玄雷诀 / 破妄斩 / 破甲掌,玄雷诀:200 / 破妄斩:170 / 破甲掌:140,1511,0,4.56,按最低气血优先规则计算的可通关门槛
化神,后期,天雷祭坛,大Boss,第10层,天雷鹏王,受祭坛加持的雷鹏王,1638,12,359,1.26,天雷坠翼,538,2.36,,雷泽震空,653,3.02,,吞雷回鸣,352,3.8,回复气血,基准值=260; hp系数=6.3; dmg系数=1.38,10,3,玄雷诀 / 破妄斩 / 破甲掌,玄雷诀:200 / 破妄斩:170 / 破甲掌:140,4185,0,10.03,按最低气血优先规则计算的可通关门槛
炼虚,初期,虚空裂隙,普通怪,普通战斗层,裂隙魔眼,自裂隙中张开的巨眼,520,5,161,1.53,裂瞳光束,177,1.8,,虚蚀冲击,209,2.2,,,,,,基准值=260; hp系数=2; dmg系数=0.62,12,2,寂灭印 / 玄雷诀,寂灭印:229 / 玄雷诀:200,387,0,2.74,按最低气血优先规则计算的可通关门槛
炼虚,初期,虚空裂隙,小Boss,第5层,虚窥魔将,能撕裂视线的魔眼将,1014,8,255,1.37,折界凝视,357,2.08,,虚空震裂,418,2.62,,,,,,基准值=260; hp系数=3.9; dmg系数=0.98,12,3,寂灭印 / 玄雷诀 / 破妄斩,寂灭印:229 / 玄雷诀:200 / 破妄斩:170,1133,0,3.65,按最低气血优先规则计算的可通关门槛
炼虚,初期,虚空裂隙,大Boss,第10层,空冥主眼,深渊尽头的虚空瞳主,1638,11,359,1.27,空冥灭照,553,2.42,,深渊瞳压,668,3.08,,归虚回瞳,359,3.95,回复气血,基准值=260; hp系数=6.3; dmg系数=1.38,12,3,寂灭印 / 玄雷诀 / 破妄斩,寂灭印:232 / 玄雷诀:202 / 破妄斩:172,3380,20,7.3,按最低气血优先规则计算的可通关门槛
炼虚,中期,折光回廊,普通怪,普通战斗层,折光魔眼,在折光回廊游移的瞳魔,560,6,174,1.51,裂瞳光束,191,1.8,,虚蚀冲击,226,2.2,,,,,,基准值=280; hp系数=2; dmg系数=0.62,12,2,寂灭印 / 玄雷诀,寂灭印:229 / 玄雷诀:200,418,0,2.74,按最低气血优先规则计算的可通关门槛
炼虚,中期,折光回廊,小Boss,第5层,折界瞳将,操纵折界之力的瞳将,1092,9,274,1.35,折界凝视,384,2.08,,虚空震裂,449,2.62,,,,,,基准值=280; hp系数=3.9; dmg系数=0.98,12,3,寂灭印 / 玄雷诀 / 破妄斩,寂灭印:244 / 玄雷诀:213 / 破妄斩:181,1234,130,3.65,按最低气血优先规则计算的可通关门槛
炼虚,中期,折光回廊,大Boss,第10层,空冥主眼,折光最深处的主眼,1764,12,386,1.25,空冥灭照,594,2.42,,深渊瞳压,718,3.08,,归虚回瞳,386,3.95,回复气血,基准值=280; hp系数=6.3; dmg系数=1.38,12,3,寂灭印 / 玄雷诀 / 破妄斩,寂灭印:250 / 玄雷诀:218 / 破妄斩:185,3690,180,7.3,按最低气血优先规则计算的可通关门槛
炼虚,后期,空冥之眼,普通怪,普通战斗层,空冥魔眼,空冥之眼附近最危险的窥视者,600,7,186,1.49,裂瞳光束,205,1.8,,虚蚀冲击,242,2.2,,,,,,基准值=300; hp系数=2; dmg系数=0.62,12,2,寂灭印 / 玄雷诀,寂灭印:229 / 玄雷诀:200,448,0,2.74,按最低气血优先规则计算的可通关门槛
炼虚,后期,空冥之眼,小Boss,第5层,空冥瞳将,守在空冥核心的瞳将,1170,10,294,1.33,折界凝视,412,2.08,,虚空震裂,482,2.62,,,,,,基准值=300; hp系数=3.9; dmg系数=0.98,12,3,寂灭印 / 玄雷诀 / 破妄斩,寂灭印:229 / 玄雷诀:200 / 破妄斩:170,1797,0,4.56,按最低气血优先规则计算的可通关门槛
炼虚,后期,空冥之眼,大Boss,第10层,空冥主眼,空冥之眼真正的统御者,1890,13,414,1.23,空冥灭照,638,2.42,,深渊瞳压,770,3.08,,归虚回瞳,414,3.95,回复气血,基准值=300; hp系数=6.3; dmg系数=1.38,12,3,寂灭印 / 玄雷诀 / 破妄斩,寂灭印:237 / 玄雷诀:207 / 破妄斩:176,4981,70,9.12,按最低气血优先规则计算的可通关门槛
合体,初期,万灵原野,普通怪,普通战斗层,荒原石傀,万灵原野中沉重的石傀,600,6,186,1.5,岩拳,208,1.85,,碎地砸击,246,2.25,,,,,,基准值=300; hp系数=2; dmg系数=0.62,14,3,九霄雷狱 / 寂灭印 / 玄雷诀,九霄雷狱:250 / 寂灭印:229 / 玄雷诀:200,455,0,1.82,按最低气血优先规则计算的可通关门槛
合体,初期,万灵原野,小Boss,第5层,碎岳石将,能震裂地面的石将,1170,9,294,1.34,坠岳重踏,417,2.12,,归元震裂,494,2.68,,,,,,基准值=300; hp系数=3.9; dmg系数=0.98,14,4,九霄雷狱 / 寂灭印 / 玄雷诀 / 破妄斩,九霄雷狱:266 / 寂灭印:244 / 玄雷诀:213 / 破妄斩:181,1345,130,3.65,按最低气血优先规则计算的可通关门槛
合体,初期,万灵原野,大Boss,第10层,归一岩君,将百岩炼为一身的石魁首,1890,12,414,1.24,归一岩陨,654,2.48,,山崩镇击,787,3.12,,吞岩回身,422,4.0,回复气血,基准值=300; hp系数=6.3; dmg系数=1.38,14,4,九霄雷狱 / 寂灭印 / 玄雷诀 / 破妄斩,九霄雷狱:270 / 寂灭印:248 / 玄雷诀:216 / 破妄斩:184,4044,160,7.3,按最低气血优先规则计算的可通关门槛
合体,中期,合元秘径,普通怪,普通战斗层,合元石傀,秘径地脉凝聚的石傀,640,7,198,1.48,岩拳,222,1.85,,碎地砸击,261,2.25,,,,,,基准值=320; hp系数=2; dmg系数=0.62,14,3,九霄雷狱 / 寂灭印 / 玄雷诀,九霄雷狱:250 / 寂灭印:229 / 玄雷诀:200,484,0,1.82,按最低气血优先规则计算的可通关门槛
合体,中期,合元秘径,小Boss,第5层,合元石侯,秘径中心的石侯,1248,10,314,1.32,坠岳重踏,446,2.12,,归元震裂,528,2.68,,,,,,基准值=320; hp系数=3.9; dmg系数=0.98,14,4,九霄雷狱 / 寂灭印 / 玄雷诀 / 破妄斩,九霄雷狱:250 / 寂灭印:229 / 玄雷诀:200 / 破妄斩:170,1876,0,4.56,按最低气血优先规则计算的可通关门槛
合体,中期,合元秘径,大Boss,第10层,归一岩君,合元秘径最终的岩君,2016,13,442,1.22,归一岩陨,698,2.48,,山崩镇击,840,3.12,,吞岩回身,451,4.0,回复气血,基准值=320; hp系数=6.3; dmg系数=1.38,14,4,九霄雷狱 / 寂灭印 / 玄雷诀 / 破妄斩,九霄雷狱:260 / 寂灭印:238 / 玄雷诀:208 / 破妄斩:177,5445,80,9.12,按最低气血优先规则计算的可通关门槛
合体,后期,归一殿,普通怪,普通战斗层,归一石傀,归一殿外最古老的石傀,680,8,211,1.46,岩拳,236,1.85,,碎地砸击,279,2.25,,,,,,基准值=340; hp系数=2; dmg系数=0.62,14,3,九霄雷狱 / 寂灭印 / 玄雷诀,九霄雷狱:251 / 寂灭印:230 / 玄雷诀:201,516,10,1.82,按最低气血优先规则计算的可通关门槛
合体,后期,归一殿,小Boss,第5层,归殿石君,归一殿前的岩甲守将,1326,11,333,1.3,坠岳重踏,473,2.12,,归元震裂,559,2.68,,,,,,基准值=340; hp系数=3.9; dmg系数=0.98,14,4,九霄雷狱 / 寂灭印 / 玄雷诀 / 破妄斩,九霄雷狱:250 / 寂灭印:229 / 玄雷诀:200 / 破妄斩:170,1988,0,4.56,按最低气血优先规则计算的可通关门槛
合体,后期,归一殿,大Boss,第10层,归一岩君,归一殿中真正的岩道之君,2142,14,469,1.2,归一岩陨,741,2.48,,山崩镇击,891,3.12,,吞岩回身,478,4.0,回复气血,基准值=340; hp系数=6.3; dmg系数=1.38,14,4,九霄雷狱 / 寂灭印 / 玄雷诀 / 破妄斩,九霄雷狱:258 / 寂灭印:236 / 玄雷诀:206 / 破妄斩:175,6666,60,10.03,按最低气血优先规则计算的可通关门槛
大乘,初期,天门外域,普通怪,普通战斗层,星阙灵蛇,借星辉腾挪的灵蛇,680,7,211,1.47,星牙突咬,241,1.86,,流辉绞杀,283,2.26,,,,,,基准值=340; hp系数=2; dmg系数=0.62,16,3,万劫斩 / 九霄雷狱 / 寂灭印,万劫斩:270 / 九霄雷狱:250 / 寂灭印:229,525,0,1.82,按最低气血优先规则计算的可通关门槛
大乘,初期,天门外域,小Boss,第5层,巡星蛇将,引导星辉的蛇将,1326,10,333,1.31,巡天扑咬,480,2.14,,星桥镇尾,566,2.7,,,,,,基准值=340; hp系数=3.9; dmg系数=0.98,16,4,万劫斩 / 九霄雷狱 / 寂灭印 / 玄雷诀,万劫斩:295 / 九霄雷狱:273 / 寂灭印:250 / 玄雷诀:218,1562,180,3.65,按最低气血优先规则计算的可通关门槛
大乘,初期,天门外域,大Boss,第10层,巡天玄螭,天阙深处的古老巡天兽,2142,13,469,1.21,玄螭天落,750,2.5,,巡天裂穹,910,3.16,,吞辉回元,488,4.05,回复气血,基准值=340; hp系数=6.3; dmg系数=1.38,16,4,万劫斩 / 九霄雷狱 / 寂灭印 / 玄雷诀,万劫斩:295 / 九霄雷狱:273 / 寂灭印:250 / 玄雷诀:218,5162,180,8.21,按最低气血优先规则计算的可通关门槛
