大境界,阶段,关卡,敌人类型,出现位置,敌人名称,档案标题,气血,基础伤害,行动CD,技能1名称,技能1伤害,技能1CD,技能1效果,技能2名称,技能2伤害,技能2CD,技能2效果,技能3名称,技能3伤害,技能3CD,技能3效果,数值备注,当前可解锁神通数,最低通关神通数,最低通关神通组合,组合单次伤害,最低通关气血,最低通关预估秒数,通关结果说明,修为经验奖励
大乘,初期,天门外域,大Boss,第10层,巡天玄螭,天阙深处的古老巡天兽,2142,469,1.21,玄螭天落,750,2.5,,巡天裂穹,910,3.16,,吞辉回元,488,4.05,回复气血,基准值=340; hp系数=6.3; dmg系数=1.38,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,3590,19.16,按当前正式战斗口径可稳定通关,2586
大乘,中期,星阙长桥,普通怪,普通战斗层,桥巡灵蛇,巡游长桥的天蛇,720,223,1.45,星牙突咬,254,1.86,,流辉绞杀,299,2.26,,,,,,基准值=360; hp系数=2; dmg系数=0.62,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,554,1.82,按当前正式战斗口径可稳定通关,330
大乘,中期,星阙长桥,小Boss,第5层,长桥蛇侯,长桥中心的蛇侯,1404,353,1.29,巡天扑咬,508,2.14,,星桥镇尾,600,2.7,,,,,,基准值=360; hp系数=3.9; dmg系数=0.98,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,1792,4.56,按当前正式战斗口径可稳定通关,1083
大乘,中期,星阙长桥,大Boss,第10层,巡天玄螭,星阙长桥尽头的玄螭,2268,497,1.19,玄螭天落,795,2.5,,巡天裂穹,964,3.16,,吞辉回元,517,4.05,回复气血,基准值=360; hp系数=6.3; dmg系数=1.38,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,3938,20.98,按当前正式战斗口径可稳定通关,2739
大乘,后期,天阙神庭,普通怪,普通战斗层,神庭灵蛇,盘踞神庭边缘的灵蛇,760,236,1.43,星牙突咬,269,1.86,,流辉绞杀,316,2.26,,,,,,基准值=380; hp系数=2; dmg系数=0.62,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,586,2.74,按当前正式战斗口径可稳定通关,349
大乘,后期,天阙神庭,小Boss,第5层,神庭玄螭,接近玄螭血脉的天蛇,1482,372,1.27,巡天扑咬,536,2.14,,星桥镇尾,632,2.7,,,,,,基准值=380; hp系数=3.9; dmg系数=0.98,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,1910,4.56,按当前正式战斗口径可稳定通关,1144
大乘,后期,天阙神庭,大Boss,第10层,巡天玄螭,神庭上空盘踞的巡天玄螭,2394,524,1.17,玄螭天落,838,2.5,,巡天裂穹,1017,3.16,,吞辉回元,545,4.05,回复气血,基准值=380; hp系数=6.3; dmg系数=1.38,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,4385,27.36,按当前正式战斗口径可稳定通关,2890
渡劫,初期,劫云海口,普通怪,普通战斗层,劫火尸王,焦土中复苏的尸王,760,236,1.44,劫火爪,274,1.9,,雷尸扑杀号,321,2.28,,,,,,基准值=380; hp系数=2; dmg系数=0.62,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,596,2.74,按当前正式战斗口径可稳定通关,349
渡劫,初期,劫云海口,小Boss,第5层,劫雷尸将,沐劫雷而不死的尸将,1482,372,1.28,断界尸冲,543,2.18,,天罚震地,647,2.74,,,,,,基准值=380; hp系数=3.9; dmg系数=0.98,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,1943,4.56,按当前正式战斗口径可稳定通关,1144
渡劫,初期,劫云海口,大Boss,第10层,天罚尸尊,被雷劫淬炼而不灭的尸尊,2394,524,1.18,天罚尸临,849,2.54,,雷殛坠杀,1038,3.18,,吞劫回尸,555,4.1,回复气血,基准值=380; hp系数=6.3; dmg系数=1.38,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,4440,24.63,按当前正式战斗口径可稳定通关,2890
渡劫,中期,雷光断界,普通怪,普通战斗层,断界尸王,在断界徘徊的不灭尸王,800,248,1.42,劫火爪,288,1.9,,雷尸扑杀号,337,2.28,,,,,,基准值=400; hp系数=2; dmg系数=0.62,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,626,2.74,按当前正式战斗口径可稳定通关,367
渡劫,中期,雷光断界,小Boss,第5层,雷断尸侯,被雷断界异化的尸侯,1560,392,1.26,断界尸冲,572,2.18,,天罚震地,682,2.74,,,,,,基准值=400; hp系数=3.9; dmg系数=0.98,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,2340,5.47,按当前正式战斗口径可稳定通关,1205
渡劫,中期,雷光断界,大Boss,第10层,天罚尸尊,雷光断界中的不灭尸尊,2520,552,1.16,天罚尸临,894,2.54,,雷殛坠杀,1093,3.18,,吞劫回尸,585,4.1,回复气血,基准值=400; hp系数=6.3; dmg系数=1.38,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,4780,24.63,按当前正式战斗口径可稳定通关,3040
渡劫,后期,天罚祭台,普通怪,普通战斗层,祭台尸王,祭台雷火中站起的尸王,840,260,1.4,劫火爪,302,1.9,,雷尸扑杀号,354,2.28,,,,,,基准值=420; hp系数=2; dmg系数=0.62,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,661,2.74,按当前正式战斗口径可稳定通关,385
渡劫,后期,天罚祭台,小Boss,第5层,天罚尸将,祭台前最凶戾的尸将,1638,412,1.24,断界尸冲,602,2.18,,天罚震地,717,2.74,,,,,,基准值=420; hp系数=3.9; dmg系数=0.98,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,2500,7.3,按当前正式战斗口径可稳定通关,1265
渡劫,后期,天罚祭台,大Boss,第10层,天罚尸尊,天罚祭台真正的主宰,2646,580,1.14,天罚尸临,940,2.54,,雷殛坠杀,1148,3.18,,吞劫回尸,615,4.1,回复气血,基准值=420; hp系数=6.3; dmg系数=1.38,9,3,九霄雷狱 / 万劫斩 / 劫火噬,九霄雷狱:245 / 万劫斩:270 / 劫火噬:292,5236,29.19,按当前正式战斗口径可稳定通关,3194
真仙,初期,仙庭云径,普通怪,普通战斗层,云庭幻狐,善于幻形迷惑来者的妖狐,840,260,1.41,幻爪,307,1.92,,踏云突袭,359,2.3,,,,,,基准值=420; hp系数=2; dmg系数=0.62,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,667,2.74,按当前正式战斗口径可稳定通关,385
真仙,初期,仙庭云径,小Boss,第5层,踏云狐将,穿行云径的狐将,1638,412,1.25,魅月扑杀号,610,2.2,,流云断喉,725,2.78,,,,,,基准值=420; hp系数=3.9; dmg系数=0.98,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,2475,5.47,按当前正式战斗口径可稳定通关,1265
真仙,初期,仙庭云径,大Boss,第10层,九尾云尊,披云踏月的仙狐之尊,2646,580,1.15,九尾裂月,963,2.58,,云庭魅杀号,1160,3.22,,吞月回灵,626,4.12,回复气血,基准值=420; hp系数=6.3; dmg系数=1.38,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,5275,32.84,按当前正式战斗口径可稳定通关,3194
真仙,中期,紫微宫门,普通怪,普通战斗层,紫微幻狐,宫门前盘桓的幻狐,880,273,1.39,幻爪,322,1.92,,踏云突袭,377,2.3,,,,,,基准值=440; hp系数=2; dmg系数=0.62,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,704,2.74,按当前正式战斗口径可稳定通关,404
真仙,中期,紫微宫门,小Boss,第5层,宫门狐侯,紫微宫门前的狐侯,1716,431,1.23,魅月扑杀号,638,2.2,,流云断喉,759,2.78,,,,,,基准值=440; hp系数=3.9; dmg系数=0.98,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,2640,7.3,按当前正式战斗口径可稳定通关,1324
真仙,中期,紫微宫门,大Boss,第10层,九尾云尊,紫微宫门后的九尾尊者,2772,607,1.13,九尾裂月,1008,2.58,,云庭魅杀号,1214,3.22,,吞月回灵,656,4.12,回复气血,基准值=440; hp系数=6.3; dmg系数=1.38,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,5787,33.75,按当前正式战斗口径可稳定通关,3344
真仙,后期,太清仙阙,普通怪,普通战斗层,太清幻狐,仙阙之上最难看破的狐影,920,285,1.37,幻爪,336,1.92,,踏云突袭,393,2.3,,,,,,基准值=460; hp系数=2; dmg系数=0.62,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,734,2.74,按当前正式战斗口径可稳定通关,422
真仙,后期,太清仙阙,小Boss,第5层,仙阙狐妃,仙阙中的狐妃化影,1794,451,1.21,魅月扑杀号,667,2.2,,流云断喉,794,2.78,,,,,,基准值=460; hp系数=3.9; dmg系数=0.98,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,2911,8.21,按当前正式战斗口径可稳定通关,1385
真仙,后期,太清仙阙,大Boss,第10层,九尾云尊,太清仙阙中真正的九尾云尊,2898,635,1.11,九尾裂月,1054,2.58,,云庭魅杀号,1270,3.22,,吞月回灵,686,4.12,回复气血,基准值=460; hp系数=6.3; dmg系数=1.38,10,3,万劫斩 / 劫火噬 / 仙意破军,万劫斩:270 / 劫火噬:292 / 仙意破军:315,6230,37.4,按当前正式战斗口径可稳定通关,3498
金仙,初期,金阙天街,普通怪,普通战斗层,金乌残灵,羽端仍带天火的残灵,920,285,1.38,曜羽穿击,342,1.94,,残阳坠翼,399,2.32,,,,,,基准值=460; hp系数=2; dmg系数=0.62,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,746,2.74,按当前正式战斗口径可稳定通关,422
金仙,初期,金阙天街,小Boss,第5层,曜羽乌将,操控残阳火羽的乌将,1794,451,1.22,乌炎俯冲,676,2.22,,金羽裂焰,803,2.8,,,,,,基准值=460; hp系数=3.9; dmg系数=0.98,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,2750,5.47,按当前正式战斗口径可稳定通关,1385
金仙,初期,金阙天街,大Boss,第10层,曜阳乌皇,守着昔日天火的乌皇,2898,635,1.12,曜阳坠天,1067,2.6,,天火焚轮,1283,3.26,,吞炎回皇,698,4.16,回复气血,基准值=460; hp系数=6.3; dmg系数=1.38,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,6235,15.51,按当前正式战斗口径可稳定通关,3498
金仙,中期,琉璃天廊,普通怪,普通战斗层,琉璃乌灵,在琉璃天廊振翅的乌灵,960,298,1.36,曜羽穿击,358,1.94,,残阳坠翼,417,2.32,,,,,,基准值=480; hp系数=2; dmg系数=0.62,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,793,1.82,按当前正式战斗口径可稳定通关,441
金仙,中期,琉璃天廊,小Boss,第5层,天廊乌侯,巡视天廊的乌侯,1872,470,1.2,乌炎俯冲,705,2.22,,金羽裂焰,837,2.8,,,,,,基准值=480; hp系数=3.9; dmg系数=0.98,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,3007,4.56,按当前正式战斗口径可稳定通关,1444
金仙,中期,琉璃天廊,大Boss,第10层,曜阳乌皇,琉璃天廊尽头的乌皇,3024,662,1.1,曜阳坠天,1112,2.6,,天火焚轮,1337,3.26,,吞炎回皇,728,4.16,回复气血,基准值=480; hp系数=6.3; dmg系数=1.38,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,6785,41.05,按当前正式战斗口径可稳定通关,3648
金仙,后期,金轮法界,普通怪,普通战斗层,金轮乌灵,金轮法界中最灼热的乌灵,1000,310,1.34,曜羽穿击,372,1.94,,残阳坠翼,434,2.32,,,,,,基准值=500; hp系数=2; dmg系数=0.62,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,988,3.65,按当前正式战斗口径可稳定通关,459
金仙,后期,金轮法界,小Boss,第5层,金轮乌帅,盘踞法界上空的乌帅,1950,490,1.18,乌炎俯冲,735,2.22,,金羽裂焰,872,2.8,,,,,,基准值=500; hp系数=3.9; dmg系数=0.98,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,3206,8.21,按当前正式战斗口径可稳定通关,1505
金仙,后期,金轮法界,大Boss,第10层,曜阳乌皇,金轮法界中浴火不灭的乌皇,3150,690,1.08,曜阳坠天,1159,2.6,,天火焚轮,1394,3.26,,吞炎回皇,759,4.16,回复气血,基准值=500; hp系数=6.3; dmg系数=1.38,11,3,劫火噬 / 仙意破军 / 金阙斩,劫火噬:292 / 仙意破军:315 / 金阙斩:336,7290,53.82,按当前正式战斗口径可稳定通关,3802
太乙,初期,太乙玄原,普通怪,普通战斗层,太乙莲魄,青莲之气凝成的灵魄,1000,310,1.35,莲锋刺,378,1.96,,青瓣回斩,440,2.34,,,,,,基准值=500; hp系数=2; dmg系数=0.62,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,830,1.82,按当前正式战斗口径可稳定通关,459
太乙,初期,太乙玄原,小Boss,第5层,青莲魄将,可驱使莲影的魄将,1950,490,1.19,万象莲落,745,2.24,,玄阵碎华,882,2.82,,,,,,基准值=500; hp系数=3.9; dmg系数=0.98,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,2815,5.47,按当前正式战斗口径可稳定通关,1505
太乙,初期,太乙玄原,大Boss,第10层,玄天莲尊,坐镇万象宫的莲尊化影,3150,690,1.09,玄天莲坠,1187,2.62,,万象归刃,1421,3.28,,聚莲回息,773,4.18,回复气血,基准值=500; hp系数=6.3; dmg系数=1.38,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,5730,35.57,按当前正式战斗口径可稳定通关,3802
太乙,中期,万象宫,普通怪,普通战斗层,万象莲魄,在万象宫中浮动的莲魄,1040,322,1.33,莲锋刺,393,1.96,,青瓣回斩,457,2.34,,,,,,基准值=520; hp系数=2; dmg系数=0.62,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,870,1.82,按当前正式战斗口径可稳定通关,477
太乙,中期,万象宫,小Boss,第5层,万象莲侯,万象宫中心的莲侯,2028,510,1.17,万象莲落,775,2.24,,玄阵碎华,918,2.82,,,,,,基准值=520; hp系数=3.9; dmg系数=0.98,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,2964,10.95,按当前正式战斗口径可稳定通关,1566
太乙,中期,万象宫,大Boss,第10层,玄天莲尊,玄原与万象宫共鸣后的莲尊,3276,718,1.07,玄天莲坠,1235,2.62,,万象归刃,1479,3.28,,聚莲回息,804,4.18,回复气血,基准值=520; hp系数=6.3; dmg系数=1.38,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,6224,44.7,按当前正式战斗口径可稳定通关,3955
太乙,后期,玄天法阵,普通怪,普通战斗层,玄天莲魄,法阵深处最锋锐的莲魄,1080,335,1.31,莲锋刺,409,1.96,,青瓣回斩,476,2.34,,,,,,基准值=540; hp系数=2; dmg系数=0.62,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,1041,3.65,按当前正式战斗口径可稳定通关,496
太乙,后期,玄天法阵,小Boss,第5层,玄阵莲尊,法阵核心诞生的莲尊化影,2106,529,1.15,万象莲落,804,2.24,,玄阵碎华,952,2.82,,,,,,基准值=540; hp系数=3.9; dmg系数=0.98,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,3100,10.95,按当前正式战斗口径可稳定通关,1624
太乙,后期,玄天法阵,大Boss,第10层,玄天莲尊,玄天法阵中心苏醒的莲尊,3402,745,1.05,玄天莲坠,1281,2.62,,万象归刃,1535,3.28,,聚莲回息,834,4.18,回复气血,基准值=540; hp系数=6.3; dmg系数=1.38,12,3,仙意破军 / 金阙斩 / 太乙诛邪,仙意破军:315 / 金阙斩:336 / 太乙诛邪:358,6632,46.52,按当前正式战斗口径可稳定通关,4106
大罗,初期,大罗界外,普通怪,普通战斗层,星海古鲸,缓缓横渡星海的古鲸,1080,335,1.32,鲸尾横扫,415,2.0,,星潮冲撞,482,2.36,,,,,,基准值=540; hp系数=2; dmg系数=0.62,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,1056,3.65,按当前正式战斗口径可稳定通关,496
大罗,初期,大罗界外,小Boss,第5层,裂海鲸将,翻涌星潮的鲸将,2106,529,1.16,裂海镇压,825,2.28,,寂灭坠潮,973,2.86,,,,,,基准值=540; hp系数=3.9; dmg系数=0.98,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,3175,10.95,按当前正式战斗口径可稳定通关,1624
大罗,初期,大罗界外,大Boss,第10层,寂灭鲸祖,深空尽头的古鲸始祖,3402,745,1.06,鲸祖覆海,1311,2.66,,寂灭吞空,1564,3.32,,回潮息身,849,4.22,回复气血,基准值=540; hp系数=6.3; dmg系数=1.38,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,6715,52.91,按当前正式战斗口径可稳定通关,4106
大罗,中期,寂灭长阶,普通怪,普通战斗层,寂灭古鲸,寂灭长阶边缘的巨鲸,1120,347,1.3,鲸尾横扫,430,2.0,,星潮冲撞,500,2.36,,,,,,基准值=560; hp系数=2; dmg系数=0.62,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,1094,3.65,按当前正式战斗口径可稳定通关,514
大罗,中期,寂灭长阶,小Boss,第5层,长阶鲸侯,长阶之上的鲸侯,2184,549,1.14,裂海镇压,856,2.28,,寂灭坠潮,1010,2.86,,,,,,基准值=560; hp系数=3.9; dmg系数=0.98,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,3375,7.3,按当前正式战斗口径可稳定通关,1685
大罗,中期,寂灭长阶,大Boss,第10层,寂灭鲸祖,寂灭长阶真正的鲸祖,3528,773,1.04,鲸祖覆海,1360,2.66,,寂灭吞空,1623,3.32,,回潮息身,881,4.22,回复气血,基准值=560; hp系数=6.3; dmg系数=1.38,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,7130,43.78,按当前正式战斗口径可稳定通关,4259
大罗,后期,无尽道场,普通怪,普通战斗层,道场古鲸,无尽道场中投下阴影的古鲸,1160,360,1.28,鲸尾横扫,446,2.0,,星潮冲撞,518,2.36,,,,,,基准值=580; hp系数=2; dmg系数=0.62,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,1135,3.65,按当前正式战斗口径可稳定通关,533
大罗,后期,无尽道场,小Boss,第5层,无尽鲸君,道场深处的鲸君,2262,568,1.12,裂海镇压,886,2.28,,寂灭坠潮,1045,2.86,,,,,,基准值=580; hp系数=3.9; dmg系数=0.98,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,3519,7.3,按当前正式战斗口径可稳定通关,1744
大罗,后期,无尽道场,大Boss,第10层,寂灭鲸祖,无尽道场中最古老的鲸祖,3654,800,1.02,鲸祖覆海,1408,2.66,,寂灭吞空,1680,3.32,,回潮息身,912,4.22,回复气血,基准值=580; hp系数=6.3; dmg系数=1.38,13,3,金阙斩 / 太乙诛邪 / 大罗天灾,金阙斩:336 / 太乙诛邪:358 / 大罗天灾:378,7570,38.31,按当前正式战斗口径可稳定通关,4410
道祖,初期,道祖外庭,普通怪,普通战斗层,混元古龙,混元流光中显形的龙影,1160,360,1.29,龙爪裂空,454,2.02,,混元龙息,526,2.4,,,,,,基准值=580; hp系数=2; dmg系数=0.62,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,1154,3.65,按当前正式战斗口径可稳定通关,533
道祖,初期,道祖外庭,小Boss,第5层,混元龙将,执掌混元龙息的龙将,2262,568,1.13,大道镇杀号,897,2.3,,万道龙压,1068,2.9,,,,,,基准值=580; hp系数=3.9; dmg系数=0.98,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,3575,7.3,按当前正式战斗口径可稳定通关,1744
道祖,初期,道祖外庭,大Boss,第10层,万道龙祖,道场尽头盘踞的龙祖真影,3654,800,1.03,龙祖临道,1440,2.7,,万道归灭,1728,3.38,,归元回祖,928,4.28,回复气血,基准值=580; hp系数=6.3; dmg系数=1.38,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,7784,54.73,按当前正式战斗口径可稳定通关,4410
道祖,中期,混元大道,普通怪,普通战斗层,大道古龙,大道震鸣时浮现的古龙,1200,372,1.27,龙爪裂空,469,2.02,,混元龙息,543,2.4,,,,,,基准值=600; hp系数=2; dmg系数=0.62,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,1192,3.65,按当前正式战斗口径可稳定通关,551
道祖,中期,混元大道,小Boss,第5层,大道龙侯,大道尽头的龙侯,2340,588,1.11,大道镇杀号,929,2.3,,万道龙压,1105,2.9,,,,,,基准值=600; hp系数=3.9; dmg系数=0.98,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,4015,12.77,按当前正式战斗口径可稳定通关,1805
道祖,中期,混元大道,大Boss,第10层,万道龙祖,混元大道真正的终极龙祖,3780,828,1.01,龙祖临道,1490,2.7,,万道归灭,1788,3.38,,归元回祖,960,4.28,回复气血,基准值=600; hp系数=6.3; dmg系数=1.38,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,8295,49.26,按当前正式战斗口径可稳定通关,4563
道祖,后期,万道之心,普通怪,普通战斗层,万道古龙,守在万道之心外围的古龙,1240,384,1.25,龙爪裂空,484,2.02,,混元龙息,561,2.4,,,,,,基准值=620; hp系数=2; dmg系数=0.62,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,1240,3.65,按当前正式战斗口径可稳定通关,569
道祖,后期,万道之心,小Boss,第5层,万道龙君,万道之心前的龙君,2418,608,1.09,大道镇杀号,961,2.3,,万道龙压,1143,2.9,,,,,,基准值=620; hp系数=3.9; dmg系数=0.98,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,4300,6.39,按当前正式战斗口径可稳定通关,1866
道祖,后期,万道之心,大Boss,第10层,万道龙祖,万道之心核心显现的龙祖,3906,856,0.99,龙祖临道,1541,2.7,,万道归灭,1849,3.38,,归元回祖,993,4.28,回复气血,基准值=620; hp系数=6.3; dmg系数=1.38,14,3,太乙诛邪 / 大罗天灾 / 万道归一,太乙诛邪:358 / 大罗天灾:378 / 万道归一:405,8885,76.62,按当前正式战斗口径可稳定通关,4714
