level,displayLevel,大境界,阶段,重数,显示文案,备注
1,1级,炼气,炼气,1重,炼气1重,人物等级外显与修仙等级映射真源
2,2级,炼气,炼气,2重,炼气2重,人物等级外显与修仙等级映射真源
3,3级,炼气,炼气,3重,炼气3重,人物等级外显与修仙等级映射真源
4,4级,炼气,炼气,4重,炼气4重,人物等级外显与修仙等级映射真源
5,5级,炼气,炼气,5重,炼气5重,人物等级外显与修仙等级映射真源
6,6级,炼气,炼气,6重,炼气6重,人物等级外显与修仙等级映射真源
7,7级,炼气,炼气,7重,炼气7重,人物等级外显与修仙等级映射真源
8,8级,炼气,炼气,8重,炼气8重,人物等级外显与修仙等级映射真源
9,9级,炼气,炼气,9重,炼气9重,人物等级外显与修仙等级映射真源
10,10级,炼气,炼气,10重,炼气10重,人物等级外显与修仙等级映射真源
11,11级,筑基,筑基初期,1重,筑基初期1重,人物等级外显与修仙等级映射真源
12,12级,筑基,筑基初期,2重,筑基初期2重,人物等级外显与修仙等级映射真源
13,13级,筑基,筑基初期,3重,筑基初期3重,人物等级外显与修仙等级映射真源
14,14级,筑基,筑基初期,4重,筑基初期4重,人物等级外显与修仙等级映射真源
15,15级,筑基,筑基初期,5重,筑基初期5重,人物等级外显与修仙等级映射真源
16,16级,筑基,筑基初期,6重,筑基初期6重,人物等级外显与修仙等级映射真源
17,17级,筑基,筑基初期,7重,筑基初期7重,人物等级外显与修仙等级映射真源
18,18级,筑基,筑基初期,8重,筑基初期8重,人物等级外显与修仙等级映射真源
19,19级,筑基,筑基初期,9重,筑基初期9重,人物等级外显与修仙等级映射真源
20,20级,筑基,筑基初期,10重,筑基初期10重,人物等级外显与修仙等级映射真源
21,21级,筑基,筑基中期,1重,筑基中期1重,人物等级外显与修仙等级映射真源
22,22级,筑基,筑基中期,2重,筑基中期2重,人物等级外显与修仙等级映射真源
23,23级,筑基,筑基中期,3重,筑基中期3重,人物等级外显与修仙等级映射真源
24,24级,筑基,筑基中期,4重,筑基中期4重,人物等级外显与修仙等级映射真源
25,25级,筑基,筑基中期,5重,筑基中期5重,人物等级外显与修仙等级映射真源
26,26级,筑基,筑基中期,6重,筑基中期6重,人物等级外显与修仙等级映射真源
27,27级,筑基,筑基中期,7重,筑基中期7重,人物等级外显与修仙等级映射真源
28,28级,筑基,筑基中期,8重,筑基中期8重,人物等级外显与修仙等级映射真源
29,29级,筑基,筑基中期,9重,筑基中期9重,人物等级外显与修仙等级映射真源
30,30级,筑基,筑基中期,10重,筑基中期10重,人物等级外显与修仙等级映射真源
31,31级,筑基,筑基后期,1重,筑基后期1重,人物等级外显与修仙等级映射真源
32,32级,筑基,筑基后期,2重,筑基后期2重,人物等级外显与修仙等级映射真源
33,33级,筑基,筑基后期,3重,筑基后期3重,人物等级外显与修仙等级映射真源
34,34级,筑基,筑基后期,4重,筑基后期4重,人物等级外显与修仙等级映射真源
35,35级,筑基,筑基后期,5重,筑基后期5重,人物等级外显与修仙等级映射真源
36,36级,筑基,筑基后期,6重,筑基后期6重,人物等级外显与修仙等级映射真源
37,37级,筑基,筑基后期,7重,筑基后期7重,人物等级外显与修仙等级映射真源
38,38级,筑基,筑基后期,8重,筑基后期8重,人物等级外显与修仙等级映射真源
39,39级,筑基,筑基后期,9重,筑基后期9重,人物等级外显与修仙等级映射真源
40,40级,筑基,筑基后期,10重,筑基后期10重,人物等级外显与修仙等级映射真源
41,41级,结丹,结丹初期,1重,结丹初期1重,人物等级外显与修仙等级映射真源
42,42级,结丹,结丹初期,2重,结丹初期2重,人物等级外显与修仙等级映射真源
43,43级,结丹,结丹初期,3重,结丹初期3重,人物等级外显与修仙等级映射真源
44,44级,结丹,结丹初期,4重,结丹初期4重,人物等级外显与修仙等级映射真源
45,45级,结丹,结丹初期,5重,结丹初期5重,人物等级外显与修仙等级映射真源
46,46级,结丹,结丹初期,6重,结丹初期6重,人物等级外显与修仙等级映射真源
47,47级,结丹,结丹初期,7重,结丹初期7重,人物等级外显与修仙等级映射真源
48,48级,结丹,结丹初期,8重,结丹初期8重,人物等级外显与修仙等级映射真源
49,49级,结丹,结丹初期,9重,结丹初期9重,人物等级外显与修仙等级映射真源
50,50级,结丹,结丹初期,10重,结丹初期10重,人物等级外显与修仙等级映射真源
51,51级,结丹,结丹中期,1重,结丹中期1重,人物等级外显与修仙等级映射真源
52,52级,结丹,结丹中期,2重,结丹中期2重,人物等级外显与修仙等级映射真源
53,53级,结丹,结丹中期,3重,结丹中期3重,人物等级外显与修仙等级映射真源
54,54级,结丹,结丹中期,4重,结丹中期4重,人物等级外显与修仙等级映射真源
55,55级,结丹,结丹中期,5重,结丹中期5重,人物等级外显与修仙等级映射真源
56,56级,结丹,结丹中期,6重,结丹中期6重,人物等级外显与修仙等级映射真源
57,57级,结丹,结丹中期,7重,结丹中期7重,人物等级外显与修仙等级映射真源
58,58级,结丹,结丹中期,8重,结丹中期8重,人物等级外显与修仙等级映射真源
59,59级,结丹,结丹中期,9重,结丹中期9重,人物等级外显与修仙等级映射真源
60,60级,结丹,结丹中期,10重,结丹中期10重,人物等级外显与修仙等级映射真源
61,61级,结丹,结丹后期,1重,结丹后期1重,人物等级外显与修仙等级映射真源
62,62级,结丹,结丹后期,2重,结丹后期2重,人物等级外显与修仙等级映射真源
63,63级,结丹,结丹后期,3重,结丹后期3重,人物等级外显与修仙等级映射真源
64,64级,结丹,结丹后期,4重,结丹后期4重,人物等级外显与修仙等级映射真源
65,65级,结丹,结丹后期,5重,结丹后期5重,人物等级外显与修仙等级映射真源
66,66级,结丹,结丹后期,6重,结丹后期6重,人物等级外显与修仙等级映射真源
67,67级,结丹,结丹后期,7重,结丹后期7重,人物等级外显与修仙等级映射真源
68,68级,结丹,结丹后期,8重,结丹后期8重,人物等级外显与修仙等级映射真源
69,69级,结丹,结丹后期,9重,结丹后期9重,人物等级外显与修仙等级映射真源
70,70级,结丹,结丹后期,10重,结丹后期10重,人物等级外显与修仙等级映射真源
71,71级,元婴,元婴初期,1重,元婴初期1重,人物等级外显与修仙等级映射真源
72,72级,元婴,元婴初期,2重,元婴初期2重,人物等级外显与修仙等级映射真源
73,73级,元婴,元婴初期,3重,元婴初期3重,人物等级外显与修仙等级映射真源
74,74级,元婴,元婴初期,4重,元婴初期4重,人物等级外显与修仙等级映射真源
75,75级,元婴,元婴初期,5重,元婴初期5重,人物等级外显与修仙等级映射真源
76,76级,元婴,元婴初期,6重,元婴初期6重,人物等级外显与修仙等级映射真源
77,77级,元婴,元婴初期,7重,元婴初期7重,人物等级外显与修仙等级映射真源
78,78级,元婴,元婴初期,8重,元婴初期8重,人物等级外显与修仙等级映射真源
79,79级,元婴,元婴初期,9重,元婴初期9重,人物等级外显与修仙等级映射真源
80,80级,元婴,元婴初期,10重,元婴初期10重,人物等级外显与修仙等级映射真源
81,81级,元婴,元婴中期,1重,元婴中期1重,人物等级外显与修仙等级映射真源
82,82级,元婴,元婴中期,2重,元婴中期2重,人物等级外显与修仙等级映射真源
83,83级,元婴,元婴中期,3重,元婴中期3重,人物等级外显与修仙等级映射真源
84,84级,元婴,元婴中期,4重,元婴中期4重,人物等级外显与修仙等级映射真源
85,85级,元婴,元婴中期,5重,元婴中期5重,人物等级外显与修仙等级映射真源
86,86级,元婴,元婴中期,6重,元婴中期6重,人物等级外显与修仙等级映射真源
87,87级,元婴,元婴中期,7重,元婴中期7重,人物等级外显与修仙等级映射真源
88,88级,元婴,元婴中期,8重,元婴中期8重,人物等级外显与修仙等级映射真源
89,89级,元婴,元婴中期,9重,元婴中期9重,人物等级外显与修仙等级映射真源
90,90级,元婴,元婴中期,10重,元婴中期10重,人物等级外显与修仙等级映射真源
91,91级,元婴,元婴后期,1重,元婴后期1重,人物等级外显与修仙等级映射真源
92,92级,元婴,元婴后期,2重,元婴后期2重,人物等级外显与修仙等级映射真源
93,93级,元婴,元婴后期,3重,元婴后期3重,人物等级外显与修仙等级映射真源
94,94级,元婴,元婴后期,4重,元婴后期4重,人物等级外显与修仙等级映射真源
95,95级,元婴,元婴后期,5重,元婴后期5重,人物等级外显与修仙等级映射真源
96,96级,元婴,元婴后期,6重,元婴后期6重,人物等级外显与修仙等级映射真源
97,97级,元婴,元婴后期,7重,元婴后期7重,人物等级外显与修仙等级映射真源
98,98级,元婴,元婴后期,8重,元婴后期8重,人物等级外显与修仙等级映射真源
99,99级,元婴,元婴后期,9重,元婴后期9重,人物等级外显与修仙等级映射真源
100,100级,元婴,元婴后期,10重,元婴后期10重,人物等级外显与修仙等级映射真源
101,101级,化神,化神初期,1重,化神初期1重,人物等级外显与修仙等级映射真源
102,102级,化神,化神初期,2重,化神初期2重,人物等级外显与修仙等级映射真源
103,103级,化神,化神初期,3重,化神初期3重,人物等级外显与修仙等级映射真源
104,104级,化神,化神初期,4重,化神初期4重,人物等级外显与修仙等级映射真源
105,105级,化神,化神初期,5重,化神初期5重,人物等级外显与修仙等级映射真源
106,106级,化神,化神初期,6重,化神初期6重,人物等级外显与修仙等级映射真源
107,107级,化神,化神初期,7重,化神初期7重,人物等级外显与修仙等级映射真源
108,108级,化神,化神初期,8重,化神初期8重,人物等级外显与修仙等级映射真源
109,109级,化神,化神初期,9重,化神初期9重,人物等级外显与修仙等级映射真源
110,110级,化神,化神初期,10重,化神初期10重,人物等级外显与修仙等级映射真源
111,111级,化神,化神中期,1重,化神中期1重,人物等级外显与修仙等级映射真源
112,112级,化神,化神中期,2重,化神中期2重,人物等级外显与修仙等级映射真源
113,113级,化神,化神中期,3重,化神中期3重,人物等级外显与修仙等级映射真源
114,114级,化神,化神中期,4重,化神中期4重,人物等级外显与修仙等级映射真源
115,115级,化神,化神中期,5重,化神中期5重,人物等级外显与修仙等级映射真源
116,116级,化神,化神中期,6重,化神中期6重,人物等级外显与修仙等级映射真源
117,117级,化神,化神中期,7重,化神中期7重,人物等级外显与修仙等级映射真源
118,118级,化神,化神中期,8重,化神中期8重,人物等级外显与修仙等级映射真源
119,119级,化神,化神中期,9重,化神中期9重,人物等级外显与修仙等级映射真源
120,120级,化神,化神中期,10重,化神中期10重,人物等级外显与修仙等级映射真源
121,121级,化神,化神后期,1重,化神后期1重,人物等级外显与修仙等级映射真源
122,122级,化神,化神后期,2重,化神后期2重,人物等级外显与修仙等级映射真源
123,123级,化神,化神后期,3重,化神后期3重,人物等级外显与修仙等级映射真源
124,124级,化神,化神后期,4重,化神后期4重,人物等级外显与修仙等级映射真源
125,125级,化神,化神后期,5重,化神后期5重,人物等级外显与修仙等级映射真源
126,126级,化神,化神后期,6重,化神后期6重,人物等级外显与修仙等级映射真源
127,127级,化神,化神后期,7重,化神后期7重,人物等级外显与修仙等级映射真源
128,128级,化神,化神后期,8重,化神后期8重,人物等级外显与修仙等级映射真源
129,129级,化神,化神后期,9重,化神后期9重,人物等级外显与修仙等级映射真源
130,130级,化神,化神后期,10重,化神后期10重,人物等级外显与修仙等级映射真源
131,131级,炼虚,炼虚初期,1重,炼虚初期1重,人物等级外显与修仙等级映射真源
132,132级,炼虚,炼虚初期,2重,炼虚初期2重,人物等级外显与修仙等级映射真源
133,133级,炼虚,炼虚初期,3重,炼虚初期3重,人物等级外显与修仙等级映射真源
134,134级,炼虚,炼虚初期,4重,炼虚初期4重,人物等级外显与修仙等级映射真源
135,135级,炼虚,炼虚初期,5重,炼虚初期5重,人物等级外显与修仙等级映射真源
136,136级,炼虚,炼虚初期,6重,炼虚初期6重,人物等级外显与修仙等级映射真源
137,137级,炼虚,炼虚初期,7重,炼虚初期7重,人物等级外显与修仙等级映射真源
138,138级,炼虚,炼虚初期,8重,炼虚初期8重,人物等级外显与修仙等级映射真源
139,139级,炼虚,炼虚初期,9重,炼虚初期9重,人物等级外显与修仙等级映射真源
140,140级,炼虚,炼虚初期,10重,炼虚初期10重,人物等级外显与修仙等级映射真源
141,141级,炼虚,炼虚中期,1重,炼虚中期1重,人物等级外显与修仙等级映射真源
142,142级,炼虚,炼虚中期,2重,炼虚中期2重,人物等级外显与修仙等级映射真源
143,143级,炼虚,炼虚中期,3重,炼虚中期3重,人物等级外显与修仙等级映射真源
144,144级,炼虚,炼虚中期,4重,炼虚中期4重,人物等级外显与修仙等级映射真源
145,145级,炼虚,炼虚中期,5重,炼虚中期5重,人物等级外显与修仙等级映射真源
146,146级,炼虚,炼虚中期,6重,炼虚中期6重,人物等级外显与修仙等级映射真源
147,147级,炼虚,炼虚中期,7重,炼虚中期7重,人物等级外显与修仙等级映射真源
148,148级,炼虚,炼虚中期,8重,炼虚中期8重,人物等级外显与修仙等级映射真源
149,149级,炼虚,炼虚中期,9重,炼虚中期9重,人物等级外显与修仙等级映射真源
150,150级,炼虚,炼虚中期,10重,炼虚中期10重,人物等级外显与修仙等级映射真源
151,151级,炼虚,炼虚后期,1重,炼虚后期1重,人物等级外显与修仙等级映射真源
152,152级,炼虚,炼虚后期,2重,炼虚后期2重,人物等级外显与修仙等级映射真源
153,153级,炼虚,炼虚后期,3重,炼虚后期3重,人物等级外显与修仙等级映射真源
154,154级,炼虚,炼虚后期,4重,炼虚后期4重,人物等级外显与修仙等级映射真源
155,155级,炼虚,炼虚后期,5重,炼虚后期5重,人物等级外显与修仙等级映射真源
156,156级,炼虚,炼虚后期,6重,炼虚后期6重,人物等级外显与修仙等级映射真源
157,157级,炼虚,炼虚后期,7重,炼虚后期7重,人物等级外显与修仙等级映射真源
158,158级,炼虚,炼虚后期,8重,炼虚后期8重,人物等级外显与修仙等级映射真源
159,159级,炼虚,炼虚后期,9重,炼虚后期9重,人物等级外显与修仙等级映射真源
160,160级,炼虚,炼虚后期,10重,炼虚后期10重,人物等级外显与修仙等级映射真源
161,161级,合体,合体初期,1重,合体初期1重,人物等级外显与修仙等级映射真源
162,162级,合体,合体初期,2重,合体初期2重,人物等级外显与修仙等级映射真源
163,163级,合体,合体初期,3重,合体初期3重,人物等级外显与修仙等级映射真源
164,164级,合体,合体初期,4重,合体初期4重,人物等级外显与修仙等级映射真源
165,165级,合体,合体初期,5重,合体初期5重,人物等级外显与修仙等级映射真源
166,166级,合体,合体初期,6重,合体初期6重,人物等级外显与修仙等级映射真源
167,167级,合体,合体初期,7重,合体初期7重,人物等级外显与修仙等级映射真源
168,168级,合体,合体初期,8重,合体初期8重,人物等级外显与修仙等级映射真源
169,169级,合体,合体初期,9重,合体初期9重,人物等级外显与修仙等级映射真源
170,170级,合体,合体初期,10重,合体初期10重,人物等级外显与修仙等级映射真源
171,171级,合体,合体中期,1重,合体中期1重,人物等级外显与修仙等级映射真源
172,172级,合体,合体中期,2重,合体中期2重,人物等级外显与修仙等级映射真源
173,173级,合体,合体中期,3重,合体中期3重,人物等级外显与修仙等级映射真源
174,174级,合体,合体中期,4重,合体中期4重,人物等级外显与修仙等级映射真源
175,175级,合体,合体中期,5重,合体中期5重,人物等级外显与修仙等级映射真源
176,176级,合体,合体中期,6重,合体中期6重,人物等级外显与修仙等级映射真源
177,177级,合体,合体中期,7重,合体中期7重,人物等级外显与修仙等级映射真源
178,178级,合体,合体中期,8重,合体中期8重,人物等级外显与修仙等级映射真源
179,179级,合体,合体中期,9重,合体中期9重,人物等级外显与修仙等级映射真源
180,180级,合体,合体中期,10重,合体中期10重,人物等级外显与修仙等级映射真源
181,181级,合体,合体后期,1重,合体后期1重,人物等级外显与修仙等级映射真源
182,182级,合体,合体后期,2重,合体后期2重,人物等级外显与修仙等级映射真源
183,183级,合体,合体后期,3重,合体后期3重,人物等级外显与修仙等级映射真源
184,184级,合体,合体后期,4重,合体后期4重,人物等级外显与修仙等级映射真源
185,185级,合体,合体后期,5重,合体后期5重,人物等级外显与修仙等级映射真源
186,186级,合体,合体后期,6重,合体后期6重,人物等级外显与修仙等级映射真源
187,187级,合体,合体后期,7重,合体后期7重,人物等级外显与修仙等级映射真源
188,188级,合体,合体后期,8重,合体后期8重,人物等级外显与修仙等级映射真源
189,189级,合体,合体后期,9重,合体后期9重,人物等级外显与修仙等级映射真源
190,190级,合体,合体后期,10重,合体后期10重,人物等级外显与修仙等级映射真源
191,191级,大乘,大乘初期,1重,大乘初期1重,人物等级外显与修仙等级映射真源
192,192级,大乘,大乘初期,2重,大乘初期2重,人物等级外显与修仙等级映射真源
193,193级,大乘,大乘初期,3重,大乘初期3重,人物等级外显与修仙等级映射真源
194,194级,大乘,大乘初期,4重,大乘初期4重,人物等级外显与修仙等级映射真源
195,195级,大乘,大乘初期,5重,大乘初期5重,人物等级外显与修仙等级映射真源
196,196级,大乘,大乘初期,6重,大乘初期6重,人物等级外显与修仙等级映射真源
197,197级,大乘,大乘初期,7重,大乘初期7重,人物等级外显与修仙等级映射真源
198,198级,大乘,大乘初期,8重,大乘初期8重,人物等级外显与修仙等级映射真源
199,199级,大乘,大乘初期,9重,大乘初期9重,人物等级外显与修仙等级映射真源
200,200级,大乘,大乘初期,10重,大乘初期10重,人物等级外显与修仙等级映射真源
201,201级,大乘,大乘中期,1重,大乘中期1重,人物等级外显与修仙等级映射真源
202,202级,大乘,大乘中期,2重,大乘中期2重,人物等级外显与修仙等级映射真源
