图鉴ID,所属大境界,敌人类型,显示名称,档案标题,出没地点,解锁规则,立绘资源Key,排序,妖物简述
monster_0_normal,炼气,普通怪,灰鬃狼妖,山谷边缘的噬血妖狼,野狼谷外围 / 野狼谷中心 / 野狼谷深处,首次遭遇炼气阶段普通怪,art_wolf_common,10,常年盘踞在野狼谷外围，嗅到血气便会成群扑来。
monster_0_boss,炼气,Boss,噬月狼王,月下啸聚的狼谷首领,野狼谷首领层,首次遭遇炼气阶段首领,art_wolf_boss,20,吞食同类而成王，利爪与獠牙在夜色中最先显现。
monster_1_normal,筑基,普通怪,残剑灵,剑墟中苏醒的残兵之灵,青云剑墟 / 剑阁回廊 / 万剑峰,首次遭遇筑基阶段普通怪,art_sword_common,30,剑阁残意化灵，受惊后会催动断剑掠杀来者。
monster_1_boss,筑基,Boss,断岳剑主,守着旧剑意的墟中剑主,筑基首领层,首次遭遇筑基阶段首领,art_sword_boss,40,其身已灭，唯剑意未灭，仍守在剑墟深处。
monster_2_normal,结丹,普通怪,炽骨魔,熔洞中游荡的火骨妖躯,火云洞口 / 熔火回廊 / 魔渊入口,首次遭遇结丹阶段普通怪,art_flame_common,50,骨骼如炭，内火不息，所过之处热浪翻卷。
monster_2_boss,结丹,Boss,熔心魔君,以熔火为心核的洞府魔首,结丹首领层,首次遭遇结丹阶段首领,art_flame_boss,60,深藏火云洞内，躯体在烈焰中不断重塑。
monster_3_normal,元婴,普通怪,霜牙雪魈,冰渊深处的寒魈,冰魄渊口 / 玄冰长阶 / 霜魂禁地,首次遭遇元婴阶段普通怪,art_ice_common,70,常伏于冰层之后，破冰而出时寒气逼骨。
monster_3_boss,元婴,Boss,寒魄雪主,凝聚极寒之息的雪魄首领,元婴首领层,首次遭遇元婴阶段首领,art_ice_boss,80,其息所过，连法器都能冻结成霜。
monster_4_normal,化神,普通怪,雷羽玄鹏,雷泽中盘旋的雷羽异禽,雷泽外域 / 雷泽心渊 / 天雷祭坛,首次遭遇化神阶段普通怪,art_thunder_common,90,振翅时电芒缠羽，俯冲速度快若惊雷。
monster_4_boss,化神,Boss,天雷鹏王,掌驭雷霆的泽域霸主,化神首领层,首次遭遇化神阶段首领,art_thunder_boss,100,其啼声能引动天雷，震得山泽俱鸣。
monster_5_normal,炼虚,普通怪,裂隙魔眼,虚空裂隙中的窥视者,虚空裂隙 / 折光回廊 / 空冥之眼,首次遭遇炼虚阶段普通怪,art_void_common,110,常以巨眼现身，周围空间会泛起轻微折痕。
monster_5_boss,炼虚,Boss,空冥主眼,深渊尽头的虚空瞳主,炼虚首领层,首次遭遇炼虚阶段首领,art_void_boss,120,据说被其注视者，连神魂都会短暂迟滞。
monster_6_normal,合体,普通怪,荒原石傀,由万灵原野碎岩凝成的傀身,万灵原野 / 合元秘径 / 归一殿,首次遭遇合体阶段普通怪,art_stone_common,130,灵气混杂地脉所生，行动迟缓但躯体沉重。
monster_6_boss,合体,Boss,归一岩君,将百岩炼为一身的石魁首,合体首领层,首次遭遇合体阶段首领,art_stone_boss,140,躯壳如岳，举手落地都似山崩。
monster_7_normal,大乘,普通怪,星阙灵蛇,游走在天门星辉中的灵蛇,天门外域 / 星阙长桥 / 天阙神庭,首次遭遇大乘阶段普通怪,art_celestial_common,150,借星辉腾挪，身形修长，常在高空俯视来者。
monster_7_boss,大乘,Boss,巡天玄螭,天阙深处的古老巡天兽,大乘首领层,首次遭遇大乘阶段首领,art_celestial_boss,160,它盘绕云阙而居，目光如寒星垂落。
monster_8_normal,渡劫,普通怪,劫火尸王,在劫云下复苏的尸王,劫云海口 / 雷光断界 / 天罚祭台,首次遭遇渡劫阶段普通怪,art_corpse_common,170,每逢雷霆交击，便从焦土之中站起。
monster_8_boss,渡劫,Boss,天罚尸尊,被雷劫淬炼而不灭的尸尊,渡劫首领层,首次遭遇渡劫阶段首领,art_corpse_boss,180,其残躯长期承受天罚，反而孕出异变之力。
monster_9_normal,真仙,普通怪,云庭幻狐,仙庭云径中的幻形妖狐,仙庭云径 / 紫微宫门 / 太清仙阙,首次遭遇真仙阶段普通怪,art_fox_common,190,善以幻影乱心，真正的身躯往往藏在最后。
monster_9_boss,真仙,Boss,九尾云尊,披云踏月的仙狐之尊,真仙首领层,首次遭遇真仙阶段首领,art_fox_boss,200,九尾齐展时，整片云庭都会泛起月色。
monster_10_normal,金仙,普通怪,金乌残灵,坠入金阙的古乌残灵,金阙天街 / 琉璃天廊 / 金轮法界,首次遭遇金仙阶段普通怪,art_crow_common,210,羽端仍带残阳之火，振翅会留下灼热金痕。
monster_10_boss,金仙,Boss,曜阳乌皇,守着昔日天火的乌皇,金仙首领层,首次遭遇金仙阶段首领,art_crow_boss,220,传闻曾随古日而行，如今只剩一缕天炎未熄。
monster_11_normal,太乙,普通怪,太乙莲魄,法阵中凝出的青莲之魄,太乙玄原 / 万象宫 / 玄天法阵,首次遭遇太乙阶段普通怪,art_lotus_common,230,看似静止不动，实则每一瓣莲影都暗藏锋芒。
monster_11_boss,太乙,Boss,玄天莲尊,坐镇万象宫的莲尊化影,太乙首领层,首次遭遇太乙阶段首领,art_lotus_boss,240,法阵运转时，它会在莲影中心缓缓睁眼。
monster_12_normal,大罗,普通怪,星海古鲸,漂游在寂灭星海的古鲸,大罗界外 / 寂灭长阶 / 无尽道场,首次遭遇大罗阶段普通怪,art_whale_common,250,其影横渡虚空，像是一整片星海在缓缓游动。
monster_12_boss,大罗,Boss,寂灭鲸祖,深空尽头的古鲸始祖,大罗首领层,首次遭遇大罗阶段首领,art_whale_boss,260,巨躯穿行时，四周星光都会被它吞没。
monster_13_normal,道祖,普通怪,混元古龙,万道震荡中诞生的古龙影,道祖外庭 / 混元大道 / 万道之心,首次遭遇道祖阶段普通怪,art_dragon_common,270,身披混元流光，呼吸间似有万道回响。
monster_13_boss,道祖,Boss,万道龙祖,道场尽头盘踞的龙祖真影,道祖首领层,首次遭遇道祖阶段首领,art_dragon_boss,280,传闻其一鳞一爪，皆能映出一条完整大道。
