bossId,stageId,bossName,realm,atlasId,bossEnemyId,mechanic1Name,mechanic1Desc,mechanic2Name,mechanic2Desc,phase1Trigger,phase2Trigger,summonEnemyGroupId,enrageThreshold,enrageBehavior,mechanicTelegraph,rewardDropGroup,wxAcceptanceCase
boss_lq_early_01,LQ_EARLY_01,噬月狼王,炼气,monster_0_boss,lq_early_01_boss,扑月,首领突进扑杀并压缩正面安全区。,狼群召引,首领召来狼群从两翼夹击，迫使玩家横移。,boss_hp<=0.70,boss_hp<=0.35,lq_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lq_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_lq_mid_01,LQ_MID_01,噬月狼王,炼气,monster_0_boss,lq_mid_01_boss,扑月,首领突进扑杀并压缩正面安全区。,狼群召引,首领召来狼群从两翼夹击，迫使玩家横移。,boss_hp<=0.70,boss_hp<=0.35,lq_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lq_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_lq_late_01,LQ_LATE_01,噬月狼王,炼气,monster_0_boss,lq_late_01_boss,扑月,首领突进扑杀并压缩正面安全区。,狼群召引,首领召来狼群从两翼夹击，迫使玩家横移。,boss_hp<=0.70,boss_hp<=0.35,lq_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lq_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_zj_early_01,ZJ_EARLY_01,断岳剑主,筑基,monster_1_boss,zj_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zj_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zj_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_zj_mid_01,ZJ_MID_01,断岳剑主,筑基,monster_1_boss,zj_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zj_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zj_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_zj_late_01,ZJ_LATE_01,断岳剑主,筑基,monster_1_boss,zj_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zj_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zj_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_jd_early_01,JD_EARLY_01,熔心魔君,结丹,monster_2_boss,jd_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jd_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jd_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_jd_mid_01,JD_MID_01,熔心魔君,结丹,monster_2_boss,jd_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jd_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jd_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_jd_late_01,JD_LATE_01,熔心魔君,结丹,monster_2_boss,jd_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jd_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jd_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_yy_early_01,YY_EARLY_01,寒魄雪主,元婴,monster_3_boss,yy_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,yy_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_yy_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_yy_mid_01,YY_MID_01,寒魄雪主,元婴,monster_3_boss,yy_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,yy_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_yy_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_yy_late_01,YY_LATE_01,寒魄雪主,元婴,monster_3_boss,yy_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,yy_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_yy_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_hs_early_01,HS_EARLY_01,天雷鹏王,化神,monster_4_boss,hs_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,hs_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_hs_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_hs_mid_01,HS_MID_01,天雷鹏王,化神,monster_4_boss,hs_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,hs_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_hs_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_hs_late_01,HS_LATE_01,天雷鹏王,化神,monster_4_boss,hs_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,hs_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_hs_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_lx_early_01,LX_EARLY_01,空冥主眼,炼虚,monster_5_boss,lx_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,lx_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lx_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_lx_mid_01,LX_MID_01,空冥主眼,炼虚,monster_5_boss,lx_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,lx_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lx_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_lx_late_01,LX_LATE_01,空冥主眼,炼虚,monster_5_boss,lx_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,lx_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_lx_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_ht_early_01,HT_EARLY_01,归一岩君,合体,monster_6_boss,ht_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,ht_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_ht_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_ht_mid_01,HT_MID_01,归一岩君,合体,monster_6_boss,ht_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,ht_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_ht_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_ht_late_01,HT_LATE_01,归一岩君,合体,monster_6_boss,ht_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,ht_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_ht_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_dc_early_01,DC_EARLY_01,巡天玄螭,大乘,monster_7_boss,dc_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dc_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dc_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_dc_mid_01,DC_MID_01,巡天玄螭,大乘,monster_7_boss,dc_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dc_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dc_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_dc_late_01,DC_LATE_01,巡天玄螭,大乘,monster_7_boss,dc_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dc_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dc_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_dj_early_01,DJ_EARLY_01,天罚尸尊,渡劫,monster_8_boss,dj_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dj_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dj_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_dj_mid_01,DJ_MID_01,天罚尸尊,渡劫,monster_8_boss,dj_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dj_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dj_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_dj_late_01,DJ_LATE_01,天罚尸尊,渡劫,monster_8_boss,dj_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dj_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dj_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_zx_early_01,ZX_EARLY_01,九尾云尊,真仙,monster_9_boss,zx_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zx_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zx_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_zx_mid_01,ZX_MID_01,九尾云尊,真仙,monster_9_boss,zx_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zx_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zx_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_zx_late_01,ZX_LATE_01,九尾云尊,真仙,monster_9_boss,zx_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,zx_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_zx_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_jx_early_01,JX_EARLY_01,曜阳乌皇,金仙,monster_10_boss,jx_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jx_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jx_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_jx_mid_01,JX_MID_01,曜阳乌皇,金仙,monster_10_boss,jx_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jx_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jx_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_jx_late_01,JX_LATE_01,曜阳乌皇,金仙,monster_10_boss,jx_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,jx_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_jx_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_ty_early_01,TY_EARLY_01,玄天莲尊,太乙,monster_11_boss,ty_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,ty_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_ty_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_ty_mid_01,TY_MID_01,玄天莲尊,太乙,monster_11_boss,ty_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,ty_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_ty_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_ty_late_01,TY_LATE_01,玄天莲尊,太乙,monster_11_boss,ty_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,ty_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_ty_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_dl_early_01,DL_EARLY_01,寂灭鲸祖,大罗,monster_12_boss,dl_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dl_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dl_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_dl_mid_01,DL_MID_01,寂灭鲸祖,大罗,monster_12_boss,dl_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dl_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dl_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_dl_late_01,DL_LATE_01,寂灭鲸祖,大罗,monster_12_boss,dl_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dl_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dl_late_01_boss_clear,WT-LR-10|WT-LR-11
boss_dz_early_01,DZ_EARLY_01,万道龙祖,道祖,monster_13_boss,dz_early_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dz_early_01_boss_support,0.35,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dz_early_01_boss_clear,WT-LR-10|WT-LR-11
boss_dz_mid_01,DZ_MID_01,万道龙祖,道祖,monster_13_boss,dz_mid_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dz_mid_01_boss_support,0.30,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dz_mid_01_boss_clear,WT-LR-10|WT-LR-11
boss_dz_late_01,DZ_LATE_01,万道龙祖,道祖,monster_13_boss,dz_late_01_boss,天压陨击,首领高空压降并制造区域震荡。,星辉召临,首领召来环形能量体迫使持续位移。,boss_hp<=0.70,boss_hp<=0.35,dz_late_01_boss_support,0.25,强化主机制释放频率并压缩安全区，不新增第三套机制。,进入 boss_intro 后展示首领名称、两条机制摘要与危险提示。,drop_dz_late_01_boss_clear,WT-LR-10|WT-LR-11
