stageId,大境界,阶段,关卡,背景文件,推荐尺寸,提示词,状态
炼气_初期_野狼谷外围,炼气,初期,野狼谷外围,炼气_初期_野狼谷外围_bg.png,1242x2208,修仙题材 2D 战斗背景，炼气初期，地点为野狼谷外围，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼气_中期_野狼谷中心,炼气,中期,野狼谷中心,炼气_中期_野狼谷中心_bg.png,1242x2208,修仙题材 2D 战斗背景，炼气中期，地点为野狼谷中心，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼气_后期_野狼谷深处,炼气,后期,野狼谷深处,炼气_后期_野狼谷深处_bg.png,1242x2208,修仙题材 2D 战斗背景，炼气后期，地点为野狼谷深处，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
筑基_初期_青云剑墟,筑基,初期,青云剑墟,筑基_初期_青云剑墟_bg.png,1242x2208,修仙题材 2D 战斗背景，筑基初期，地点为青云剑墟，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
筑基_中期_剑阁回廊,筑基,中期,剑阁回廊,筑基_中期_剑阁回廊_bg.png,1242x2208,修仙题材 2D 战斗背景，筑基中期，地点为剑阁回廊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
筑基_后期_万剑峰,筑基,后期,万剑峰,筑基_后期_万剑峰_bg.png,1242x2208,修仙题材 2D 战斗背景，筑基后期，地点为万剑峰，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
结丹_初期_火云洞口,结丹,初期,火云洞口,结丹_初期_火云洞口_bg.png,1242x2208,修仙题材 2D 战斗背景，结丹初期，地点为火云洞口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
结丹_中期_熔火回廊,结丹,中期,熔火回廊,结丹_中期_熔火回廊_bg.png,1242x2208,修仙题材 2D 战斗背景，结丹中期，地点为熔火回廊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
结丹_后期_魔渊入口,结丹,后期,魔渊入口,结丹_后期_魔渊入口_bg.png,1242x2208,修仙题材 2D 战斗背景，结丹后期，地点为魔渊入口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
元婴_初期_冰魄渊口,元婴,初期,冰魄渊口,元婴_初期_冰魄渊口_bg.png,1242x2208,修仙题材 2D 战斗背景，元婴初期，地点为冰魄渊口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
元婴_中期_玄冰长阶,元婴,中期,玄冰长阶,元婴_中期_玄冰长阶_bg.png,1242x2208,修仙题材 2D 战斗背景，元婴中期，地点为玄冰长阶，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
元婴_后期_霜魂禁地,元婴,后期,霜魂禁地,元婴_后期_霜魂禁地_bg.png,1242x2208,修仙题材 2D 战斗背景，元婴后期，地点为霜魂禁地，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
化神_初期_雷泽外域,化神,初期,雷泽外域,化神_初期_雷泽外域_bg.png,1242x2208,修仙题材 2D 战斗背景，化神初期，地点为雷泽外域，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
化神_中期_雷泽心渊,化神,中期,雷泽心渊,化神_中期_雷泽心渊_bg.png,1242x2208,修仙题材 2D 战斗背景，化神中期，地点为雷泽心渊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
化神_后期_天雷祭坛,化神,后期,天雷祭坛,化神_后期_天雷祭坛_bg.png,1242x2208,修仙题材 2D 战斗背景，化神后期，地点为天雷祭坛，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼虚_初期_虚空裂隙,炼虚,初期,虚空裂隙,炼虚_初期_虚空裂隙_bg.png,1242x2208,修仙题材 2D 战斗背景，炼虚初期，地点为虚空裂隙，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼虚_中期_折光回廊,炼虚,中期,折光回廊,炼虚_中期_折光回廊_bg.png,1242x2208,修仙题材 2D 战斗背景，炼虚中期，地点为折光回廊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
炼虚_后期_空冥之眼,炼虚,后期,空冥之眼,炼虚_后期_空冥之眼_bg.png,1242x2208,修仙题材 2D 战斗背景，炼虚后期，地点为空冥之眼，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
合体_初期_万灵原野,合体,初期,万灵原野,合体_初期_万灵原野_bg.png,1242x2208,修仙题材 2D 战斗背景，合体初期，地点为万灵原野，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
合体_中期_合元秘径,合体,中期,合元秘径,合体_中期_合元秘径_bg.png,1242x2208,修仙题材 2D 战斗背景，合体中期，地点为合元秘径，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
合体_后期_归一殿,合体,后期,归一殿,合体_后期_归一殿_bg.png,1242x2208,修仙题材 2D 战斗背景，合体后期，地点为归一殿，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
大乘_初期_天门外域,大乘,初期,天门外域,大乘_初期_天门外域_bg.png,1242x2208,修仙题材 2D 战斗背景，大乘初期，地点为天门外域，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
大乘_中期_星阙长桥,大乘,中期,星阙长桥,大乘_中期_星阙长桥_bg.png,1242x2208,修仙题材 2D 战斗背景，大乘中期，地点为星阙长桥，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
大乘_后期_天阙神庭,大乘,后期,天阙神庭,大乘_后期_天阙神庭_bg.png,1242x2208,修仙题材 2D 战斗背景，大乘后期，地点为天阙神庭，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
渡劫_初期_劫云海口,渡劫,初期,劫云海口,渡劫_初期_劫云海口_bg.png,1242x2208,修仙题材 2D 战斗背景，渡劫初期，地点为劫云海口，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
渡劫_中期_雷光断界,渡劫,中期,雷光断界,渡劫_中期_雷光断界_bg.png,1242x2208,修仙题材 2D 战斗背景，渡劫中期，地点为雷光断界，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
渡劫_后期_天罚祭台,渡劫,后期,天罚祭台,渡劫_后期_天罚祭台_bg.png,1242x2208,修仙题材 2D 战斗背景，渡劫后期，地点为天罚祭台，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
真仙_初期_仙庭云径,真仙,初期,仙庭云径,真仙_初期_仙庭云径_bg.png,1242x2208,修仙题材 2D 战斗背景，真仙初期，地点为仙庭云径，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
真仙_中期_紫微宫门,真仙,中期,紫微宫门,真仙_中期_紫微宫门_bg.png,1242x2208,修仙题材 2D 战斗背景，真仙中期，地点为紫微宫门，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
真仙_后期_太清仙阙,真仙,后期,太清仙阙,真仙_后期_太清仙阙_bg.png,1242x2208,修仙题材 2D 战斗背景，真仙后期，地点为太清仙阙，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
金仙_初期_金阙天街,金仙,初期,金阙天街,金仙_初期_金阙天街_bg.png,1242x2208,修仙题材 2D 战斗背景，金仙初期，地点为金阙天街，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
金仙_中期_琉璃天廊,金仙,中期,琉璃天廊,金仙_中期_琉璃天廊_bg.png,1242x2208,修仙题材 2D 战斗背景，金仙中期，地点为琉璃天廊，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
金仙_后期_金轮法界,金仙,后期,金轮法界,金仙_后期_金轮法界_bg.png,1242x2208,修仙题材 2D 战斗背景，金仙后期，地点为金轮法界，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
太乙_初期_太乙玄原,太乙,初期,太乙玄原,太乙_初期_太乙玄原_bg.png,1242x2208,修仙题材 2D 战斗背景，太乙初期，地点为太乙玄原，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
太乙_中期_万象宫,太乙,中期,万象宫,太乙_中期_万象宫_bg.png,1242x2208,修仙题材 2D 战斗背景，太乙中期，地点为万象宫，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
太乙_后期_玄天法阵,太乙,后期,玄天法阵,太乙_后期_玄天法阵_bg.png,1242x2208,修仙题材 2D 战斗背景，太乙后期，地点为玄天法阵，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
大罗_初期_大罗界外,大罗,初期,大罗界外,大罗_初期_大罗界外_bg.png,1242x2208,修仙题材 2D 战斗背景，大罗初期，地点为大罗界外，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
大罗_中期_寂灭长阶,大罗,中期,寂灭长阶,大罗_中期_寂灭长阶_bg.png,1242x2208,修仙题材 2D 战斗背景，大罗中期，地点为寂灭长阶，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
大罗_后期_无尽道场,大罗,后期,无尽道场,大罗_后期_无尽道场_bg.png,1242x2208,修仙题材 2D 战斗背景，大罗后期，地点为无尽道场，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
道祖_初期_道祖外庭,道祖,初期,道祖外庭,道祖_初期_道祖外庭_bg.png,1242x2208,修仙题材 2D 战斗背景，道祖初期，地点为道祖外庭，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
道祖_中期_混元大道,道祖,中期,混元大道,道祖_中期_混元大道_bg.png,1242x2208,修仙题材 2D 战斗背景，道祖中期，地点为混元大道，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
道祖_后期_万道之心,道祖,后期,万道之心,道祖_后期_万道之心_bg.png,1242x2208,修仙题材 2D 战斗背景，道祖后期，地点为万道之心，适合微信小游戏竖屏战斗场景，中式玄幻氛围，画面中部留出敌人与UI展示空间，背景层次分明，不要人物，不要文字，不要UI，整体色调克制，细节清晰，可作为战斗舞台底图。,待生成
